日期,標的代號,標的名稱,權重(%),持有數,單位,ETF
20260611,2330,台積電,9.73,11960000,股,00981A
20260611,2383,台光電,8.26,4486000,股,00981A
20260611,2454,聯發科,6.87,4649000,股,00981A
20260611,2327,國巨*,6.44,21168000,股,00981A
20260611,2345,智邦,5.21,6334000,股,00981A
20260611,2308,台達電,5.13,6572000,股,00981A
20260611,6223,旺矽,4.78,2169000,股,00981A
20260611,6669,緯穎,4.41,2492000,股,00981A
20260611,3017,奇鋐,4.38,5191000,股,00981A
20260611,2368,金像電,4.04,8315000,股,00981A
20260611,3037,欣興,3.85,12466000,股,00981A
20260611,3665,貿聯-KY,3.74,4783848,股,00981A
20260611,3711,日月光投控,3.53,17948000,股,00981A
20260611,2303,聯電,3.33,73690000,股,00981A
20260611,8046,南電,3.16,10828000,股,00981A
20260611,3653,健策,2.97,2267000,股,00981A
20260611,5274,信驊,2.69,422000,股,00981A
20260611,6274,台燿,2.54,4763000,股,00981A
20260611,6515,穎崴,1.39,442000,股,00981A
20260611,8210,勤誠,1.18,2267000,股,00981A
20260611,6510,精測,1.14,930000,股,00981A
20260611,6805,富世達,1.11,1761000,股,00981A
20260611,2317,鴻海,0.68,7307000,股,00981A
20260611,3533,嘉澤,0.66,852000,股,00981A
20260611,2404,漢唐,0.52,1200000,股,00981A
20260611,6187,萬潤,0.50,1334000,股,00981A
20260611,6147,頎邦,0.46,5775000,股,00981A
20260611,5439,高技,0.44,3528000,股,00981A
20260611,8996,高力,0.43,1034000,股,00981A
20260611,8150,南茂,0.41,11635000,股,00981A
20260611,4966,譜瑞-KY,0.39,1642000,股,00981A
20260611,2449,京元電子,0.36,3645000,股,00981A
20260611,6278,台表科,0.26,3734000,股,00981A
20260611,3443,創意,0.25,167000,股,00981A
20260611,1590,亞德客-KY,0.24,530000,股,00981A
20260611,8358,金居,0.19,980000,股,00981A
20260611,3376,新日興,0.13,1741000,股,00981A
20260611,6191,精成科,0.13,3988000,股,00981A
20260611,6271,同欣電,0.05,686000,股,00981A
20260611,2002,中鋼,0.03,5163000,股,00981A
20260611,2313,華通,0.03,329000,股,00981A
20260611,1319,東陽,0.01,278000,股,00981A
20260611,1815,富喬,0.00,107000,股,00981A
20260611,2439,美律,0.00,18000,股,00981A
20260611,2382,廣達,0.00,1000,股,00981A
20260611,5347,世界,0.00,1000,股,00981A
20260611,3661,世芯-KY,0.00,1000,股,00981A
20260611,3264,欣銓,0.00,1000,股,00981A
20260611,2481,強茂,0.00,5000,股,00981A
20260611,3008,大立光,0.00,1000,股,00981A
20260611,C_NTD,CASH,,4042731093,元,00981A
20260611,M_NTD,MARGIN,,500128241,元,00981A
20260611,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,-2672506172,元,00981A
20260610,2330,台積電,18.55,14200000,股,00403A
20260610,2303,聯電,4.67,68000000,股,00403A
20260610,2327,國巨*,4.63,9760000,股,00403A
20260610,3037,欣興,4.59,8960000,股,00403A
20260610,3017,奇鋐,4.44,3250000,股,00403A
20260610,2368,金像電,3.87,4700000,股,00403A
20260610,2383,台光電,3.86,1350000,股,00403A
20260610,3711,日月光投控,3.78,12101000,股,00403A
20260610,2344,華邦電,3.11,36000000,股,00403A
20260610,2308,台達電,3.10,2430000,股,00403A
20260610,6223,旺矽,2.91,870000,股,00403A
20260610,2345,智邦,2.88,2100000,股,00403A
20260610,2454,聯發科,2.82,1170000,股,00403A
20260610,6669,緯穎,2.32,790000,股,00403A
20260610,3653,健策,1.83,830000,股,00403A
20260610,4958,臻鼎-KY,1.60,5492000,股,00403A
20260610,3533,嘉澤,1.56,1240000,股,00403A
20260610,3665,貿聯-KY,1.36,1090000,股,00403A
20260610,6274,台燿,1.32,1520000,股,00403A
20260610,2337,旺宏,1.28,16350000,股,00403A
20260610,7769,鴻勁,1.11,279000,股,00403A
20260610,2360,致茂,1.08,840000,股,00403A
20260610,3443,創意,1.00,430000,股,00403A
20260610,3081,聯亞,0.94,720000,股,00403A
20260610,8996,高力,0.94,1334000,股,00403A
20260610,6442,光聖,0.91,830000,股,00403A
20260610,5347,世界,0.88,9911000,股,00403A
20260610,6515,穎崴,0.78,165000,股,00403A
20260610,6147,頎邦,0.73,5600000,股,00403A
20260610,3529,力旺,0.67,390000,股,00403A
20260610,6488,環球晶,0.67,1497000,股,00403A
