日期,標的代號,標的名稱,權重(%),持有數,單位,ETF
20260707,2330,台積電,10.77,11960000,股,00981A
20260707,2383,台光電,8.86,4597000,股,00981A
20260707,2327,國巨*,8.38,25098000,股,00981A
20260707,2454,聯發科,7.63,5131000,股,00981A
20260707,2345,智邦,5.74,6334000,股,00981A
20260707,6223,旺矽,5.55,2382000,股,00981A
20260707,2303,聯電,4.95,86550000,股,00981A
20260707,3037,欣興,4.71,15203000,股,00981A
20260707,3017,奇鋐,4.69,5191000,股,00981A
20260707,6669,緯穎,4.47,2417000,股,00981A
20260707,3665,貿聯-KY,3.53,4833848,股,00981A
20260707,2308,台達電,3.52,5052000,股,00981A
20260707,2368,金像電,3.48,8315000,股,00981A
20260707,8046,南電,3.40,8949000,股,00981A
20260707,3711,日月光投控,3.06,12742000,股,00981A
20260707,6274,台燿,3.00,5160000,股,00981A
20260707,3653,健策,2.67,2267000,股,00981A
20260707,5274,信驊,2.22,416900,股,00981A
20260707,6805,富世達,1.00,1811000,股,00981A
20260707,8210,勤誠,0.98,2267000,股,00981A
20260707,6515,穎崴,0.60,204000,股,00981A
20260707,6187,萬潤,0.48,1334000,股,00981A
20260707,6147,頎邦,0.46,6275000,股,00981A
20260707,6510,精測,0.43,411000,股,00981A
20260707,5439,高技,0.43,3528000,股,00981A
20260707,6278,台表科,0.31,4334000,股,00981A
20260707,6271,同欣電,0.27,2966000,股,00981A
20260707,1590,亞德客-KY,0.27,528000,股,00981A
20260707,2449,京元電子,0.22,1886000,股,00981A
20260707,6191,精成科,0.15,3988000,股,00981A
20260707,3264,欣銓,0.13,1508000,股,00981A
20260707,3376,新日興,0.12,1741000,股,00981A
20260707,2002,中鋼,0.04,5163000,股,00981A
20260707,4966,譜瑞-KY,0.03,140000,股,00981A
20260707,6488,環球晶,0.02,50000,股,00981A
20260707,8150,南茂,0.00,1000,股,00981A
20260707,8358,金居,0.00,1000,股,00981A
20260707,8996,高力,0.00,1000,股,00981A
20260707,5347,世界,0.00,1000,股,00981A
20260707,4958,臻鼎-KY,0.00,1000,股,00981A
20260707,3443,創意,0.00,1000,股,00981A
20260707,3533,嘉澤,0.00,1000,股,00981A
20260707,3661,世芯-KY,0.00,1000,股,00981A
20260707,1815,富喬,0.00,107000,股,00981A
20260707,2313,華通,0.00,1000,股,00981A
20260707,2317,鴻海,0.00,1000,股,00981A
20260707,2382,廣達,0.00,1000,股,00981A
20260707,2481,強茂,0.00,5000,股,00981A
20260707,3008,大立光,0.00,1000,股,00981A
20260707,2439,美律,0.00,1000,股,00981A
20260707,C_NTD,CASH,,6628939793,元,00981A
20260707,M_NTD,MARGIN,,500781127,元,00981A
20260707,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,-294893156,元,00981A
20260708,2330,台積電,19.48,12800000,股,00403A
20260708,2303,聯電,7.55,75000000,股,00403A
20260708,2327,國巨*,4.95,9000000,股,00403A
20260708,3017,奇鋐,4.95,3450000,股,00403A
20260708,2344,華邦電,4.12,39600000,股,00403A
20260708,6223,旺矽,3.99,1000000,股,00403A
20260708,2454,聯發科,3.95,1600000,股,00403A
20260708,3037,欣興,3.76,7064000,股,00403A
20260708,2383,台光電,3.74,1140000,股,00403A
20260708,2345,智邦,3.13,2100000,股,00403A
20260708,2308,台達電,2.83,2430000,股,00403A
20260708,6669,緯穎,2.46,790000,股,00403A
20260708,3711,日月光投控,2.28,5900000,股,00403A
20260708,4958,臻鼎-KY,2.25,6440000,股,00403A
20260708,2368,金像電,1.95,2750000,股,00403A
20260708,6274,台燿,1.73,1700000,股,00403A
20260708,6488,環球晶,1.60,2100000,股,00403A
20260708,3653,健策,1.54,780000,股,00403A
20260708,3533,嘉澤,1.52,1240000,股,00403A
20260708,3189,景碩,1.50,3217000,股,00403A
20260708,3443,創意,1.30,480000,股,00403A
20260708,8996,高力,1.27,1560000,股,00403A
20260708,7769,鴻勁,1.04,279000,股,00403A
20260708,6515,穎崴,0.95,200000,股,00403A
20260708,1303,南亞,0.89,7920000,股,00403A
20260708,2337,旺宏,0.86,10000000,股,00403A
20260708,8046,南電,0.72,1050000,股,00403A
20260708,8358,金居,0.63,1950000,股,00403A
20260708,2360,致茂,0.52,450000,股,00403A
20260708,6805,富世達,0.49,570000,股,00403A
20260708,3211,順達,0.48,1800000,股,00403A
20260708,2317,鴻海,0.47,3200000,股,00403A
20260708,3583,辛耘,0.44,900000,股,00403A
20260708,5274,信驊,0.43,49500,股,00403A
20260708,1560,中砂,0.43,1000000,股,00403A
20260708,6196,帆宣,0.34,1000000,股,00403A
20260708,4966,譜瑞-KY,0.33,800000,股,00403A
20260708,6415,矽力*-KY,0.31,900000,股,00403A
20260708,6442,光聖,0.28,300000,股,00403A
20260708,3529,力旺,0.26,160000,股,00403A
20260708,2049,上銀,0.21,1010000,股,00403A
20260708,3665,貿聯-KY,0.19,166000,股,00403A
20260708,6239,力成,0.18,900000,股,00403A
20260708,6147,頎邦,0.12,1000000,股,00403A
20260708,3264,欣銓,0.09,600000,股,00403A
20260708,2455,全新,0.09,450000,股,00403A
20260708,5347,世界,0.00,1000,股,00403A
20260708,4979,華星光,0.00,1000,股,00403A
20260708,8210,勤誠,0.00,1000,股,00403A
20260708,8299,群聯,0.00,1000,股,00403A
20260708,C_NTD,CASH,,4096509472,元,00403A
20260708,M_NTD,MARGIN,,0,元,00403A
20260708,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,466916344,元,00403A
20260708,2330,台積電,58.82,530358242,股,0050
20260708,2454,聯發科,5.76,32045645,股,0050
20260708,2308,台達電,3.56,41931322,股,0050
20260708,2317,鴻海,2.83,264959635,股,0050
20260708,3711,日月光投控,2.03,72068088,股,0050
20260708,2303,聯電,1.86,253609413,股,0050
20260708,2383,台光電,1.51,6315299,股,0050
20260708,2327,國巨*,1.37,34230948,股,0050
20260708,2891,中信金,1.24,385481847,股,0050
20260708,2345,智邦,1.17,10809018,股,0050
20260708,3037,欣興,1.11,28625711,股,0050
20260708,2881,富邦金,1.03,181007878,股,0050
20260708,2382,廣達,0.97,57288811,股,0050
20260708,2882,國泰金,0.91,206708917,股,0050
20260708,1303,南亞,0.88,107042077,股,0050
20260708,2887,台新新光金,0.81,503539350,股,0050
20260708,2885,元大金,0.77,239434035,股,0050
20260708,3017,奇鋐,0.73,6936453,股,0050
20260708,2360,致茂,0.67,7988520,股,0050
20260708,202607TX,臺股期貨,0.54,1318,口,0050
20260708,2886,兆豐金,0.54,256155162,股,0050
20260708,2890,永豐金,0.53,278522256,股,0050
20260708,2884,玉山金,0.52,329467258,股,0050
20260708,2412,中華電,0.52,82181265,股,0050
20260708,2344,華邦電,0.51,67045061,股,0050
20260708,6669,緯穎,0.51,2252528,股,0050
20260708,2883,凱基金,0.47,341759859,股,0050
20260708,2357,華碩,0.45,14626833,股,0050
20260708,2059,川湖,0.44,1194852,股,0050
20260708,2408,南亞科,0.44,24724158,股,0050
20260708,3231,緯創,0.43,65442865,股,0050
20260708,4958,臻鼎-KY,0.42,16527026,股,0050
20260708,2301,光寶科,0.41,42392999,股,0050
20260708,2368,金像電,0.39,7449064,股,0050
20260708,1216,統一,0.38,107093201,股,0050
20260708,2892,第一金,0.37,242730143,股,0050
20260708,3008,大立光,0.36,2034674,股,0050
20260708,2880,華南金,0.36,199236314,股,0050
20260708,3443,創意,0.34,1740952,股,0050
20260708,7769,鴻勁,0.34,1235874,股,0050
20260708,3665,貿聯-KY,0.33,3874608,股,0050
20260708,2449,京元電子,0.32,23564936,股,0050
20260708,3661,世芯-KY,0.31,1709622,股,0050
20260708,3653,健策,0.27,1888115,股,0050
20260708,5880,合庫金,0.26,226877505,股,0050
20260708,2395,研華,0.25,9992143,股,0050
20260708,8046,南電,0.23,4641872,股,0050
20260708,2603,長榮,0.21,23543710,股,0050
20260708,4904,遠傳,0.16,38253710,股,0050
20260708,3045,台灣大,0.15,30024729,股,0050
20260708,202608TX,臺股期貨,0.12,290,口,0050
20260708,202607NYF,台灣50ETF股票期貨,0.09,1888,口,0050
20260708,6505,台塑化,0.07,24866309,股,0050
20260708,2382,廣達,4.48,85557523,股,0056
20260708,2891,中信金,4.40,444360074,股,0056
20260708,2890,永豐金,4.10,705577833,股,0056
20260708,2344,華邦電,3.98,170099199,股,0056
20260708,2880,華南金,3.75,679731691,股,0056
20260708,2408,南亞科,3.66,66512479,股,0056
20260708,2303,聯電,3.65,161237657,股,0056
20260708,2886,兆豐金,3.48,535918948,股,0056
20260708,3231,緯創,3.26,160448829,股,0056
20260708,2357,華碩,3.25,34102814,股,0056
20260708,1303,南亞,2.93,116154565,股,0056
20260708,2885,元大金,2.88,289760363,股,0056
20260708,2379,瑞昱,2.86,25201025,股,0056
20260708,1216,統一,2.71,247973302,股,0056
20260708,2883,凱基金,2.50,585934268,股,0056
20260708,2603,長榮,2.50,92063422,股,0056
20260708,2887,台新新光金,2.25,452524241,股,0056
20260708,2317,鴻海,2.22,67244610,股,0056
20260708,3045,台灣大,2.20,140120145,股,0056
20260708,2301,光寶科,2.19,73800968,股,0056
20260708,3034,聯詠,2.12,28117495,股,0056
20260708,2884,玉山金,2.07,428077911,股,0056
20260708,3711,日月光投控,2.00,23078083,股,0056
20260708,4904,遠傳,1.89,146083746,股,0056
20260708,2454,聯發科,1.85,3343046,股,0056
20260708,3036,文曄,1.81,61954774,股,0056
20260708,202607TX,臺股期貨,1.75,1383,口,0056
20260708,3044,健鼎,1.66,25310567,股,0056
20260708,6239,力成,1.57,35545871,股,0056
20260708,2356,英業達,1.49,161745494,股,0056
20260708,2376,技嘉,1.46,31431687,股,0056
20260708,4938,和碩,1.43,123215754,股,0056
20260708,2618,長榮航,1.38,248612819,股,0056
20260708,2449,京元電子,1.36,32063968,股,0056
20260708,5876,上海商銀,1.25,211262679,股,0056
20260708,3702,大聯大,1.10,75326632,股,0056
20260708,202608TX,臺股期貨,1.04,814,口,0056
20260708,2347,聯強,1.00,80570985,股,0056
20260708,2324,仁寶,0.98,198337420,股,0056
20260708,6285,啟碁,0.80,22892821,股,0056
20260708,2377,微星,0.78,39640440,股,0056
20260708,1102,亞泥,0.73,146186966,股,0056
20260708,2474,可成,0.70,26010914,股,0056
20260708,2105,正新,0.66,148340822,股,0056
20260708,2353,宏碁,0.60,134593485,股,0056
20260708,2027,大成鋼,0.59,105220242,股,0056
20260708,1513,中興電,0.55,23160389,股,0056
20260708,2385,群光,0.50,33573503,股,0056
20260708,3023,信邦,0.49,11065091,股,0056
20260708,2645,長榮航太,0.44,13512552,股,0056
20260708,3005,神基,0.44,29224822,股,0056
20260708,9904,寶成,0.36,108169314,股,0056
20260707,2891,中信金,10.55,909044000,股,00878
20260707,2382,廣達,10.41,168841000,股,00878
20260707,2882,國泰金,6.01,374689486,股,00878
20260707,2303,聯電,4.75,185302000,股,00878
20260707,2357,華碩,4.22,38537000,股,00878
20260707,2603,長榮,3.49,112174000,股,00878
20260707,2454,聯發科,3.33,5005000,股,00878
20260707,2379,瑞昱,3.30,25748000,股,00878
20260707,2887,台新新光金,3.29,569427000,股,00878
20260707,5347,世界先進,2.81,97242442,股,00878
20260707,3711,日月光投控,2.79,25944000,股,00878
20260707,3034,聯詠,2.74,31256000,股,00878
20260707,2881,富邦金,2.73,134019945,股,00878
20260707,2886,兆豐金,2.66,343589964,股,00878
20260707,2885,元大金,2.61,226166516,股,00878
20260707,4958,臻鼎-KY,2.58,28430000,股,00878
20260707,4904,遠傳,2.56,150152000,股,00878
20260707,3045,台灣大,2.56,133147000,股,00878
20260707,202607TX,台股期貨,2.56,1696,口,00878
20260707,1216,統一,2.47,191517000,股,00878
20260707,2880,華南金,2.39,371675000,股,00878
20260707,2412,中華電,2.35,100847000,股,00878
20260707,2301,光寶科,2.19,62290000,股,00878
20260707,3231,緯創,2.11,82168000,股,00878
20260707,2912,統一超,2.05,51717000,股,00878
20260707,2618,長榮航,1.97,281366000,股,00878
20260707,2356,英業達,1.94,178956000,股,00878
20260707,3293,鈊  象,1.87,14683000,股,00878
20260707,2376,技嘉,1.81,33450000,股,00878
20260707,5876,上海商銀,1.70,242825590,股,00878
20260707,5871,中租-KY,1.61,85399080,股,00878
20260707,C_NTD,CASH,,9628447680,元,00878
20260707,M_NTD,MARGIN,,3270528792,元,00878
20260707,PFUR_NTD,PAYABLES FOR UNITS REDEEMED,,0,元,00878
20260708,3045,台灣大,9.11,85470000,股,00713
20260708,1216,統一,8.73,117786000,股,00713
20260708,2912,統一超,6.94,30519000,股,00713
20260708,2892,第一金,5.92,184021000,股,00713
20260708,4904,遠傳,5.24,59637000,股,00713
20260708,2880,華南金,4.15,110765000,股,00713
20260708,2884,玉山金,3.75,114431567,股,00713
20260708,1402,遠東新,2.96,112802000,股,00713
20260708,5876,上海商銀,2.80,69878000,股,00713
20260708,2382,廣達,2.53,7104000,股,00713
20260708,2303,聯電,2.29,14902000,股,00713
20260708,2633,台灣高鐵,2.11,84199000,股,00713
20260708,2379,瑞昱,2.06,2678000,股,00713
20260708,202608TX,臺股期貨,1.86,215,口,00713
20260708,2890,永豐金,1.56,39577824,股,00713
20260708,3034,聯詠,1.44,2807000,股,00713
20260708,2458,義隆,1.42,8072000,股,00713
20260708,1215,卜蜂,1.38,13112000,股,00713
20260708,2887,台新新光金,1.24,36554000,股,00713
20260708,2891,中信金,1.22,18166000,股,00713
20260708,2845,遠東銀,1.20,95913000,股,00713
20260708,5434,崇越,1.20,2499678,股,00713
20260708,4766,南寶,1.17,3577000,股,00713
20260708,2377,微星,1.14,8486000,股,00713
20260708,8464,億豐,1.12,3319000,股,00713
20260708,2610,華航,1.10,53125000,股,00713
20260708,2347,聯強,1.09,12994000,股,00713
20260708,2357,華碩,1.08,1661000,股,00713
20260708,2885,元大金,1.07,15866648,股,00713
20260708,1210,大成,1.06,19670000,股,00713
20260708,4915,致伸,1.06,16551000,股,00713
20260708,202607TX,臺股期貨,1.02,119,口,00713
20260708,2606,裕民,1.01,16986000,股,00713
20260708,2618,長榮航,1.01,26770000,股,00713
20260708,2206,三陽工業,1.00,16596000,股,00713
20260708,2207,和泰車,1.00,2218000,股,00713
20260708,9917,中保科,1.00,10069000,股,00713
20260708,3596,智易,0.98,5317000,股,00713
20260708,2006,東和鋼鐵,0.98,15048000,股,00713
20260708,9939,宏全,0.95,8119597,股,00713
20260708,6670,復盛應用,0.94,3863000,股,00713
20260708,2376,技嘉,0.93,2939000,股,00713
20260708,1477,聚陽,0.91,4314000,股,00713
20260708,1476,儒鴻,0.87,2759000,股,00713
20260708,8926,台汽電,0.87,11807000,股,00713
20260708,2385,群光,0.80,7850000,股,00713
20260708,2850,新產,0.77,5564000,股,00713
20260708,2504,國產,0.74,24248000,股,00713
20260708,3036,文曄,0.73,3682000,股,00713
20260708,2882,國泰金,0.72,7825000,股,00713
20260708,2903,遠百,0.68,32607000,股,00713
20260708,2015,豐興,0.53,9024000,股,00713
20260707,3034,聯詠科技,3.55,9185000,股,00929
20260707,2379,瑞昱半導,3.10,5488000,股,00929
20260707,6409,旭隼科技,3.00,3483000,股,00929
20260707,2347,聯強國際,2.91,43790000,股,00929
20260707,2382,廣達電腦,2.79,10293000,股,00929
20260707,3045,台灣大哥,2.75,32516000,股,00929
20260707,2474,可成科技,2.72,19101000,股,00929
20260707,3260,威剛科技,2.66,9070000,股,00929
20260707,2357,華碩電腦,2.59,5382000,股,00929
20260707,4904,遠傳電信,2.46,32918000,股,00929
20260707,2412,中華電信,2.44,23799000,股,00929
20260707,6139,亞翔工程,2.43,3790000,股,00929
20260707,2404,漢唐集成,2.39,2609000,股,00929
20260707,3702,大聯大控,2.27,28640000,股,00929
20260707,5434,崇越科技,2.24,5972000,股,00929
20260707,3231,緯創資通,2.18,19313000,股,00929
20260707,5347,世界先進,2.16,17008000,股,00929
20260707,5269,祥碩科技,2.12,1946000,股,00929
20260707,3706,神達控股,2.09,32659000,股,00929
20260707,2376,技嘉科技,2.03,8532000,股,00929
20260707,3023,信邦電子,2.00,8456000,股,00929
20260707,202607WTX,115/07台股期貨,1.99,300,口,00929
20260707,3090,日電貿股,1.97,8865000,股,00929
20260707,5483,中美矽晶,1.96,13608000,股,00929
20260707,6691,洋基工程,1.94,3670000,股,00929
20260707,2377,微星科技,1.92,19261000,股,00929
20260707,8069,元太科技,1.87,12938000,股,00929
20260707,6121,新普科技,1.84,5666000,股,00929
20260707,2303,聯華電子,1.83,16240000,股,00929
20260707,2458,義隆電子,1.81,13206000,股,00929
20260707,6278,台灣表面,1.80,12723000,股,00929
20260707,2356,英業達股,1.73,36477000,股,00929
20260707,3211,順達科技,1.69,5983000,股,00929
20260707,3044,健鼎科技,1.69,4886000,股,00929
20260707,6191,精成科技,1.63,21675000,股,00929
20260707,5536,聖暉工程,1.60,1575000,股,00929
20260707,4966,譜瑞-KY,1.58,3334000,股,00929
20260707,6257,矽格股份,1.54,8771000,股,00929
20260707,2317,鴻海精密,1.50,8699000,股,00929
20260707,8112,至上電子,1.48,22613000,股,00929
20260707,3264,欣銓科技,1.36,8065000,股,00929
20260707,3008,大立光電,1.34,475000,股,00929
20260707,6548,長華科技,1.12,17290000,股,00929
20260707,2352,佳世達科,1.11,44393000,股,00929
20260707,3563,牧德科技,1.10,2088000,股,00929
20260707,3227,原相科技,1.07,6330000,股,00929
20260707,2301,光寶科技,1.02,6553000,股,00929
20260707,8422,可寧衛股,0.99,48929000,股,00929
20260707,M_NTD,MARGIN,0.96,1314897177,元,00929
20260707,5469,瀚宇博德,0.95,15796000,股,00929
20260707,4915,致伸科技,0.80,16216000,股,00929
20260707,8070,長華電材,0.69,17187000,股,00929
20260707,PFUR_NTD,PAYABLES FOR UNITS REDEEMED,0.00,0,元,00929
20260707,DA_NTD,AFTER DEDUCTING SECURITIES PURCHASES AMOUNT,-11.55,-15893968361,元,00929
20260708,2881,富邦金,13.52,584180000,股,00919
20260708,2382,廣達,12.00,173280000,股,00919
20260708,2882,國泰金,11.86,658950000,股,00919
20260708,2891,中信金,11.48,876187000,股,00919
20260708,2887,台新新光金,7.48,1136010000,股,00919
20260708,2883,凱基金,4.37,775490000,股,00919
20260708,2357,華碩,4.29,34000000,股,00919
20260708,3034,聯詠,3.71,37075000,股,00919
20260708,2603,長榮,3.56,98903000,股,00919
20260708,2379,瑞昱,3.36,22400000,股,00919
20260708,202607TX,台指期,2.57,1536,口,00919
20260708,2618,長榮航,1.81,246744000,股,00919
20260708,4938,和碩,1.73,112070000,股,00919
20260708,3293,鈊象,1.57,11400000,股,00919
20260708,5871,中租-KY,1.51,71330000,股,00919
20260708,1402,遠東新,1.07,209210000,股,00919
20260708,2347,聯強,1.06,64710000,股,00919
20260708,2474,可成,0.92,25640000,股,00919
20260708,5522,遠雄,0.83,70789000,股,00919
20260708,2385,群光,0.72,36460000,股,00919
20260708,2504,國產,0.70,117699000,股,00919
20260708,2105,正新,0.70,119100000,股,00919
20260708,6121,新普,0.69,8464000,股,00919
20260708,2855,統一證,0.68,73160000,股,00919
20260708,2542,興富發,0.61,76770000,股,00919
20260708,8454,富邦媒,0.61,12218000,股,00919
20260708,1477,聚陽,0.56,13510000,股,00919
20260708,2458,義隆,0.53,15370000,股,00919
20260708,2637,慧洋-KY,0.50,34120000,股,00919
20260708,6890,來億-KY,0.49,13330000,股,00919
20260708,9910,豐泰,0.46,36740000,股,00919
20260708,9941,裕融,0.45,29940000,股,00919
20260708,2606,裕民,0.45,38623000,股,00919
20260708,2597,潤弘,0.44,14250000,股,00919
20260708,1210,大成,0.43,41370000,股,00919
20260708,8112,至上,0.42,26819000,股,00919
20260708,1319,東陽,0.39,27850000,股,00919
20260708,6670,復盛應用,0.38,7990000,股,00919
20260708,4763,材料*-KY,0.37,41500000,股,00919
20260708,4915,致伸,0.36,29006000,股,00919
20260708,2211,長榮鋼,0.36,20540000,股,00919
20260708,C_NTD,CASH,,18446038934,元,00919
20260708,M_NTD,MARGIN,,1448129532,元,00919
20260708,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,-241289110,元,00919
20260708,2330,台積電,65.40,42642027,股,0052
20260708,2454,聯發科,6.40,2574703,股,0052
20260708,2317,鴻海,3.16,21358000,股,0052
20260708,3711,日月光投控,2.26,5803267,股,0052
20260708,2303,聯電,2.07,20402286,股,0052
20260708,2383,台光電,1.66,501000,股,0052
20260708,2327,國巨*,1.53,2754608,股,0052
20260708,3037,欣興,1.24,2307901,股,0052
20260708,2382,廣達,1.08,4623285,股,0052
20260708,3017,奇鋐,0.81,560222,股,0052
20260708,202607WTEN6F,電子指數期貨,0.70,96,口,0052
20260708,2344,華邦電,0.57,5411296,股,0052
20260708,6669,緯穎,0.57,181515,股,0052
20260708,3481,群創,0.52,12839134,股,0052
20260708,2357,華碩,0.50,1180617,股,0052
20260708,2408,南亞科,0.49,1995288,股,0052
20260708,3231,緯創,0.48,5281520,股,0052
20260708,4958,臻鼎-KY,0.47,1334000,股,0052
20260708,2301,光寶科,0.46,3421000,股,0052
20260708,2368,金像電,0.43,601600,股,0052
20260708,2379,瑞昱,0.43,854349,股,0052
20260708,3008,大立光,0.40,164000,股,0052
20260708,3443,創意,0.38,140482,股,0052
20260708,7769,鴻勁,0.38,100000,股,0052
20260708,3665,貿聯-KY,0.37,312672,股,0052
20260708,2449,京元電子,0.36,1902321,股,0052
20260708,3661,世芯-KY,0.35,137921,股,0052
20260708,3034,聯詠,0.34,998822,股,0052
20260708,3653,健策,0.30,152499,股,0052
20260708,2337,旺宏,0.28,3213000,股,0052
20260708,2395,研華,0.27,805897,股,0052
20260708,3189,景碩,0.27,575000,股,0052
20260708,8046,南電,0.26,375000,股,0052
20260708,6770,力積電,0.25,5704000,股,0052
20260708,2313,華通,0.25,1827000,股,0052
20260708,6239,力成,0.24,1193441,股,0052
20260708,3044,健鼎,0.23,767000,股,0052
20260708,6515,穎崴,0.21,44000,股,0052
20260708,6415,矽力*-KY,0.20,580000,股,0052
20260708,2376,技嘉,0.19,933659,股,0052
20260708,2409,友達,0.19,10569121,股,0052
20260708,2356,英業達,0.18,4440578,股,0052
20260708,4938,和碩,0.18,3469981,股,0052
20260708,3036,文曄,0.18,1374384,股,0052
20260708,3533,嘉澤,0.18,145386,股,0052
20260708,3702,大聯大,0.17,2589703,股,0052
20260708,2324,仁寶,0.16,7147249,股,0052
20260708,2492,華新科,0.15,496000,股,0052
20260708,202607WVHFN6F,富邦科技ETF期貨,0.12,300,口,0052
20260708,2347,聯強,0.12,2184107,股,0052
20260708,6257,矽格,0.12,774000,股,0052
20260708,6213,聯茂,0.10,389000,股,0052
20260708,6531,愛普*,0.10,181000,股,0052
20260708,2474,可成,0.10,802000,股,0052
20260708,2353,宏碁,0.10,4945956,股,0052
20260708,2377,微星,0.10,1182076,股,0052
20260708,3706,神達,0.09,1555400,股,0052
20260708,5434,崇越,0.09,289000,股,0052
20260708,8210,勤誠,0.09,115000,股,0052
20260708,6805,富世達,0.08,93000,股,0052
20260708,2455,全新,0.07,319000,股,0052
20260708,2385,群光,0.07,1000121,股,0052
20260708,2354,鴻準,0.06,1752000,股,0052
20260708,6196,帆宣,0.06,170000,股,0052
20260708,5269,祥碩,0.06,65538,股,0052
20260708,6789,采鈺,0.06,177000,股,0052
20260708,3030,德律,0.05,253000,股,0052
20260708,2467,志聖,0.05,156000,股,0052
20260708,3005,神基,0.05,678000,股,0052
20260708,2451,創見,0.05,330000,股,0052
20260708,3532,台勝科,0.03,114000,股,0052
20260708,4919,新唐,0.03,335000,股,0052
20260708,6526,達發,0.03,71000,股,0052
20260708,C_NTD,CASH,,315758488,元,0052
20260708,M_NTD,MARGIN,,407047375,元,0052
20260708,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,-138344607,元,0052
20260707,AVGO US,博通公司,26.82,156305,股,009819
20260707,GEV US,奇異維諾瓦公司,8.89,17835,股,009819
20260707,ORCL US,甲骨文公司,7.42,113200,股,009819
20260707,MRVL US,Marvell Technology Inc,6.17,57795,股,009819
20260707,NEE US,NextEra Energy Inc,5.64,137755,股,009819
20260707,NOW US,ServiceNow Inc,3.47,67760,股,009819
20260707,SO US,南方公司,3.35,74295,股,009819
20260707,EQIX US,Equinix公司,3.09,6525,股,009819
20260707,DUK US,杜克能源公司,3.04,51205,股,009819
20260707,C_NTD,CASH,2.95,205316499,元,009819
20260707,NET US,Cloudflare公司,2.59,20783,股,009819
20260707,CEG US,星座能源公司,2.49,22455,股,009819
20260707,AEP US,美國電力公司,2.28,35780,股,009819
20260707,D US,道明尼能源公司,1.87,57965,股,009819
20260707,DLR US,數位不動產信託公司,1.86,22995,股,009819
20260707,HPE US,慧與,1.76,87355,股,009819
20260707,ETR US,安特吉公司,1.61,30178,股,009819
20260707,ALAB US,Astera實驗室公司,1.61,9090,股,009819
20260707,VST US,維斯達能源公司,1.60,22170,股,009819
20260707,XEL US,Xcel 能源,1.53,41000,股,009819
20260707,EXC US,愛克斯龍公司,1.48,67258,股,009819
20260707,ED US,聯合愛迪生,1.26,24158,股,009819
20260707,CRDO US,Credo科技集團控股有限公司,1.24,10866,股,009819
20260707,NBIS US,尼比厄斯集團公眾有限公司,1.20,13251,股,009819
20260707,PCG US,太平洋電力瓦斯公司,1.14,143615,股,009819
20260707,WEC US,WEC能源集團公司,1.14,20935,股,009819
20260707,AEE US,阿莫林公司,0.96,18101,股,009819
20260707,CNP US,Centerpoint能源,0.88,42540,股,009819
20260707,CRWV US,CoreWeave Inc,0.87,22387,股,009819
20260707,NRG US,NRG Energy Inc,0.85,13305,股,009819
20260707,PPL US,PPL Corp,0.82,48940,股,009819
