日期,標的代號,標的名稱,權重(%),持有數,單位,ETF
20260624,2330,台積電,9.80,11960000,股,00981A
20260624,2327,國巨*,8.60,23892000,股,00981A
20260624,2383,台光電,8.55,4486000,股,00981A
20260624,2454,聯發科,7.40,5037000,股,00981A
20260624,6223,旺矽,5.79,2352000,股,00981A
20260624,2345,智邦,5.16,6334000,股,00981A
20260624,2303,聯電,5.10,83532000,股,00981A
20260624,3017,奇鋐,4.50,5191000,股,00981A
20260624,3037,欣興,4.25,13307000,股,00981A
20260624,2308,台達電,4.05,5910000,股,00981A
20260624,6669,緯穎,3.82,2417000,股,00981A
20260624,2368,金像電,3.58,8315000,股,00981A
20260624,3665,貿聯-KY,3.32,4833848,股,00981A
20260624,3711,日月光投控,3.17,14158000,股,00981A
20260624,6274,台燿,3.06,5058000,股,00981A
20260624,8046,南電,2.92,8917000,股,00981A
20260624,3653,健策,2.83,2267000,股,00981A
20260624,5274,信驊,2.65,422000,股,00981A
20260624,6515,穎崴,1.13,348000,股,00981A
20260624,6805,富世達,1.12,1811000,股,00981A
20260624,6510,精測,1.10,930000,股,00981A
20260624,8210,勤誠,1.03,2267000,股,00981A
20260624,2449,京元電子,0.74,6484000,股,00981A
20260624,3533,嘉澤,0.65,852000,股,00981A
20260624,2317,鴻海,0.64,7307000,股,00981A
20260624,6147,頎邦,0.54,6275000,股,00981A
20260624,6187,萬潤,0.48,1334000,股,00981A
20260624,5439,高技,0.39,3528000,股,00981A
20260624,4966,譜瑞-KY,0.37,1642000,股,00981A
20260624,6278,台表科,0.30,4334000,股,00981A
20260624,6271,同欣電,0.26,2966000,股,00981A
20260624,1590,亞德客-KY,0.25,530000,股,00981A
20260624,8358,金居,0.21,980000,股,00981A
20260624,8996,高力,0.18,354000,股,00981A
20260624,6191,精成科,0.13,3988000,股,00981A
20260624,3264,欣銓,0.12,1508000,股,00981A
20260624,3376,新日興,0.12,1741000,股,00981A
20260624,6488,環球晶,0.12,350000,股,00981A
20260624,2002,中鋼,0.03,5163000,股,00981A
20260624,2439,美律,0.00,18000,股,00981A
20260624,2481,強茂,0.00,5000,股,00981A
20260624,3008,大立光,0.00,1000,股,00981A
20260624,1815,富喬,0.00,107000,股,00981A
20260624,2313,華通,0.00,1000,股,00981A
20260624,2382,廣達,0.00,1000,股,00981A
20260624,3443,創意,0.00,1000,股,00981A
20260624,3661,世芯-KY,0.00,1000,股,00981A
20260624,4958,臻鼎-KY,0.00,1000,股,00981A
20260624,5347,世界,0.00,1000,股,00981A
20260624,8150,南茂,0.00,1000,股,00981A
20260624,C_NTD,CASH,,8243670672,元,00981A
20260624,M_NTD,MARGIN,,500781127,元,00981A
20260624,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,2149455018,元,00981A
20260623,2330,台積電,18.37,12900000,股,00403A
20260623,2303,聯電,7.19,74000000,股,00403A
20260623,2327,國巨*,5.86,10050000,股,00403A
20260623,3037,欣興,4.99,8960000,股,00403A
20260623,2344,華邦電,4.69,38800000,股,00403A
20260623,3017,奇鋐,4.51,3250000,股,00403A
20260623,2383,台光電,4.40,1350000,股,00403A
20260623,2454,聯發科,3.63,1400000,股,00403A
20260623,6223,旺矽,3.44,900000,股,00403A
20260623,2368,金像電,3.40,4700000,股,00403A
20260623,2345,智邦,2.92,2100000,股,00403A
20260623,2308,台達電,2.89,2430000,股,00403A
20260623,4958,臻鼎-KY,2.16,6440000,股,00403A
20260623,6669,緯穎,2.11,790000,股,00403A
20260623,3653,健策,1.82,830000,股,00403A
20260623,3711,日月光投控,1.70,4500000,股,00403A
20260623,6274,台燿,1.69,1700000,股,00403A
20260623,2337,旺宏,1.61,16350000,股,00403A
20260623,3533,嘉澤,1.58,1240000,股,00403A
20260623,8996,高力,1.29,1560000,股,00403A
20260623,6488,環球晶,1.16,2000000,股,00403A
20260623,3443,創意,1.16,430000,股,00403A
20260623,7769,鴻勁,1.09,279000,股,00403A
20260623,6515,穎崴,1.08,200000,股,00403A
20260623,5347,世界,1.06,9911000,股,00403A
20260623,6147,頎邦,0.89,6000000,股,00403A
20260623,8358,金居,0.73,1950000,股,00403A
20260623,3529,力旺,0.71,390000,股,00403A
20260623,1303,南亞,0.67,7550000,股,00403A
20260623,3189,景碩,0.65,1572000,股,00403A
20260623,6442,光聖,0.65,570000,股,00403A
20260623,2360,致茂,0.58,450000,股,00403A
20260623,6805,富世達,0.58,570000,股,00403A
20260623,3665,貿聯-KY,0.57,500000,股,00403A
20260623,5274,信驊,0.48,45000,股,00403A
20260623,2317,鴻海,0.47,3200000,股,00403A
20260623,3583,辛耘,0.45,900000,股,00403A
20260623,8046,南電,0.41,795000,股,00403A
20260623,3211,順達,0.38,1560000,股,00403A
