日期,標的代號,標的名稱,權重(%),持有數,單位,ETF
20260630,2330,台積電,9.93,11960000,股,00981A
20260630,2327,國巨*,9.86,25098000,股,00981A
20260630,2383,台光電,8.33,4486000,股,00981A
20260630,2454,聯發科,7.37,5037000,股,00981A
20260630,3037,欣興,5.60,15203000,股,00981A
20260630,2345,智邦,5.44,6334000,股,00981A
20260630,6223,旺矽,5.00,2382000,股,00981A
20260630,2303,聯電,4.90,86550000,股,00981A
20260630,3017,奇鋐,4.52,5191000,股,00981A
20260630,6669,緯穎,3.86,2417000,股,00981A
20260630,2308,台達電,3.77,5614000,股,00981A
20260630,8046,南電,3.65,8949000,股,00981A
20260630,2368,金像電,3.44,8315000,股,00981A
20260630,3665,貿聯-KY,3.19,4833848,股,00981A
20260630,3711,日月光投控,2.98,12742000,股,00981A
20260630,6274,台燿,2.93,5058000,股,00981A
20260630,3653,健策,2.68,2267000,股,00981A
20260630,5274,信驊,2.15,379000,股,00981A
20260630,6805,富世達,1.05,1811000,股,00981A
20260630,8210,勤誠,1.00,2267000,股,00981A
20260630,6515,穎崴,0.70,252000,股,00981A
20260630,6510,精測,0.66,636000,股,00981A
20260630,2449,京元電子,0.52,4481000,股,00981A
20260630,3533,嘉澤,0.47,652000,股,00981A
20260630,6147,頎邦,0.46,6275000,股,00981A
20260630,6187,萬潤,0.46,1334000,股,00981A
20260630,2317,鴻海,0.44,5114000,股,00981A
20260630,5439,高技,0.38,3528000,股,00981A
20260630,6278,台表科,0.32,4334000,股,00981A
20260630,6271,同欣電,0.27,2966000,股,00981A
20260630,1590,亞德客-KY,0.24,530000,股,00981A
20260630,8358,金居,0.20,980000,股,00981A
20260630,6191,精成科,0.15,3988000,股,00981A
20260630,4966,譜瑞-KY,0.14,624000,股,00981A
20260630,3264,欣銓,0.12,1508000,股,00981A
20260630,3376,新日興,0.12,1741000,股,00981A
20260630,6488,環球晶,0.12,350000,股,00981A
20260630,2002,中鋼,0.03,5163000,股,00981A
20260630,2439,美律,0.00,1000,股,00981A
20260630,2481,強茂,0.00,5000,股,00981A
20260630,3008,大立光,0.00,1000,股,00981A
20260630,1815,富喬,0.00,107000,股,00981A
20260630,2313,華通,0.00,1000,股,00981A
20260630,2382,廣達,0.00,1000,股,00981A
20260630,3443,創意,0.00,1000,股,00981A
20260630,3661,世芯-KY,0.00,1000,股,00981A
20260630,5347,世界,0.00,1000,股,00981A
20260630,4958,臻鼎-KY,0.00,1000,股,00981A
20260630,8996,高力,0.00,1000,股,00981A
20260630,8150,南茂,0.00,1000,股,00981A
20260630,C_NTD,CASH,,7285726881,元,00981A
20260630,M_NTD,MARGIN,,500781127,元,00981A
20260630,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,1680918795,元,00981A
20260629,2330,台積電,18.34,12900000,股,00403A
20260629,2303,聯電,7.38,75000000,股,00403A
20260629,2327,國巨*,6.27,10050000,股,00403A
20260629,3037,欣興,5.25,8960000,股,00403A
20260629,2344,華邦電,4.73,38800000,股,00403A
20260629,3017,奇鋐,4.48,3250000,股,00403A
20260629,2383,台光電,4.41,1350000,股,00403A
20260629,6223,旺矽,3.42,940000,股,00403A
20260629,2454,聯發科,3.37,1435000,股,00403A
20260629,2345,智邦,2.95,2100000,股,00403A
20260629,2308,台達電,2.78,2430000,股,00403A
20260629,4958,臻鼎-KY,2.21,6440000,股,00403A
20260629,6669,緯穎,2.17,790000,股,00403A
20260629,2368,金像電,2.01,2900000,股,00403A
20260629,3711,日月光投控,1.69,4500000,股,00403A
20260629,3653,健策,1.65,830000,股,00403A
20260629,3533,嘉澤,1.59,1240000,股,00403A
20260629,6274,台燿,1.59,1700000,股,00403A
20260629,3189,景碩,1.56,3200000,股,00403A
20260629,8996,高力,1.38,1560000,股,00403A
20260629,5347,世界,1.24,9911000,股,00403A
20260629,3443,創意,1.19,450000,股,00403A
20260629,6488,環球晶,1.10,2000000,股,00403A
20260629,7769,鴻勁,1.07,279000,股,00403A
20260629,6515,穎崴,0.96,200000,股,00403A
20260629,2337,旺宏,0.95,10000000,股,00403A
20260629,6147,頎邦,0.76,6000000,股,00403A
20260629,1303,南亞,0.69,7550000,股,00403A
20260629,3529,力旺,0.68,390000,股,00403A
20260629,8358,金居,0.64,1950000,股,00403A
20260629,6805,富世達,0.56,570000,股,00403A
20260629,2360,致茂,0.56,450000,股,00403A
20260629,8046,南電,0.52,795000,股,00403A
20260629,2317,鴻海,0.47,3200000,股,00403A
20260629,3583,辛耘,0.46,900000,股,00403A
20260629,5274,信驊,0.41,45000,股,00403A
20260629,1560,中砂,0.40,900000,股,00403A
20260629,3211,順達,0.37,1560000,股,00403A
20260629,4966,譜瑞-KY,0.34,900000,股,00403A
20260629,6196,帆宣,0.32,1000000,股,00403A
20260629,6415,矽力*-KY,0.32,900000,股,00403A
20260629,6442,光聖,0.29,300000,股,00403A
20260629,3665,貿聯-KY,0.19,166000,股,00403A
20260629,2049,上銀,0.19,1010000,股,00403A
20260629,2455,全新,0.09,450000,股,00403A
20260629,4979,華星光,0.08,300000,股,00403A
20260629,3081,聯亞,0.00,1000,股,00403A
20260629,3105,穩懋,0.00,1000,股,00403A
20260629,8210,勤誠,0.00,1000,股,00403A
20260629,8299,群聯,0.00,1000,股,00403A
20260629,C_NTD,CASH,,5017169026,元,00403A
20260629,M_NTD,MARGIN,,0,元,00403A
20260629,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,1430785282,元,00403A
20260630,2330,台積電,57.37,525991389,股,0050
20260630,2454,聯發科,6.11,31795029,股,0050
20260630,2308,台達電,3.67,41596384,股,0050
20260630,2317,鴻海,2.99,262813556,股,0050
20260630,3711,日月光投控,2.20,71483502,股,0050
20260630,2303,聯電,1.87,251566156,股,0050
20260630,2327,國巨*,1.75,33952205,股,0050
20260630,2383,台光電,1.53,6267706,股,0050
20260630,3037,欣興,1.37,28361260,股,0050
20260630,2891,中信金,1.23,382349891,股,0050
20260630,2345,智邦,1.21,10722476,股,0050
20260630,2881,富邦金,1.05,179296394,股,0050
20260630,2382,廣達,0.95,56823770,股,0050
20260630,2882,國泰金,0.91,205019441,股,0050
20260630,1303,南亞,0.80,106435579,股,0050
20260630,3017,奇鋐,0.79,6880007,股,0050
20260630,2360,致茂,0.77,7924297,股,0050
20260630,2887,台新新光金,0.75,498811979,股,0050
20260630,2885,元大金,0.71,237333747,股,0050
20260630,2344,華邦電,0.62,66505109,股,0050
20260630,2886,兆豐金,0.53,254109373,股,0050
20260630,2412,中華電,0.53,82021475,股,0050
20260630,2884,玉山金,0.51,326809250,股,0050
20260630,2408,南亞科,0.50,24523144,股,0050
20260630,2890,永豐金,0.50,276065325,股,0050
20260630,3231,緯創,0.47,64915039,股,0050
20260630,4958,臻鼎-KY,0.47,16392164,股,0050
20260630,6669,緯穎,0.47,2234276,股,0050
20260630,2357,華碩,0.46,14509519,股,0050
20260630,202607TX,臺股期貨,0.45,1068,口,0050
20260630,2883,凱基金,0.44,338558029,股,0050
20260630,2301,光寶科,0.42,42046667,股,0050
20260630,2368,金像電,0.40,7389235,股,0050
20260630,2059,川湖,0.39,1185388,股,0050
20260630,3008,大立光,0.39,2018112,股,0050
20260630,3443,創意,0.38,1726756,股,0050
20260630,7769,鴻勁,0.36,1226072,股,0050
20260630,1216,統一,0.36,106226988,股,0050
20260630,2892,第一金,0.36,240779097,股,0050
20260630,2449,京元電子,0.36,23375386,股,0050
20260630,2880,華南金,0.34,197629755,股,0050
20260630,3665,貿聯-KY,0.33,3843174,股,0050
20260630,3661,世芯-KY,0.32,1695764,股,0050
20260630,3653,健策,0.29,1872905,股,0050
20260630,8046,南電,0.25,4605016,股,0050
20260630,5880,合庫金,0.25,225047096,股,0050
20260630,2395,研華,0.22,9911685,股,0050
20260630,2603,長榮,0.20,23354495,股,0050
20260630,4904,遠傳,0.18,38137491,股,0050
20260630,3045,台灣大,0.16,30380591,股,0050
20260630,202607NYF,台灣50ETF股票期貨,0.09,1738,口,0050
20260630,6505,台塑化,0.06,24666278,股,0050
20260630,2344,華邦電,4.85,168060363,股,0056
20260630,2891,中信金,4.34,439066108,股,0056
20260630,2382,廣達,4.33,84541847,股,0056
20260630,2408,南亞科,4.14,65710925,股,0056
20260630,2890,永豐金,3.88,697862653,股,0056
20260630,2303,聯電,3.67,160300593,股,0056
20260630,2880,華南金,3.55,671540161,股,0056
20260630,3231,緯創,3.50,158558609,股,0056
20260630,2886,兆豐金,3.40,529593979,股,0056
20260630,2357,華碩,3.28,33693644,股,0056
20260630,202607TX,臺股期貨,2.81,2156,口,0056
20260630,2379,瑞昱,2.79,24891252,股,0056
20260630,2885,元大金,2.62,286255285,股,0056
20260630,1216,統一,2.54,245125425,股,0056
20260630,2603,長榮,2.34,90952890,股,0056
20260630,2317,鴻海,2.32,66465335,股,0056
20260630,2883,凱基金,2.31,578927450,股,0056
20260630,2301,光寶科,2.25,72924985,股,0056
20260630,3045,台灣大,2.24,138425911,股,0056
20260630,3711,日月光投控,2.23,23584428,股,0056
20260630,4904,遠傳,2.11,144403578,股,0056
20260630,1303,南亞,2.08,89623332,股,0056
20260630,3034,聯詠,2.07,27776772,股,0056
20260630,2884,玉山金,2.03,422935775,股,0056
20260630,2887,台新新光金,2.02,436201682,股,0056
20260630,2454,聯發科,2.01,3406690,股,0056
20260630,3036,文曄,1.82,61208719,股,0056
20260630,3044,健鼎,1.80,25016261,股,0056
20260630,6239,力成,1.65,35119113,股,0056
20260630,2618,長榮航,1.53,245587596,股,0056
20260630,2449,京元電子,1.50,31897788,股,0056
20260630,2376,技嘉,1.49,31056639,股,0056
20260630,2356,英業達,1.48,159778155,股,0056
20260630,4938,和碩,1.42,121792477,股,0056
20260630,5876,上海商銀,1.24,208688610,股,0056
20260630,3702,大聯大,1.11,74386121,股,0056
20260630,2347,聯強,1.01,79587588,股,0056
20260630,2324,仁寶,0.96,195896621,股,0056
20260630,6285,啟碁,0.82,22607682,股,0056
20260630,2377,微星,0.80,39157314,股,0056
20260630,2474,可成,0.75,25731874,股,0056
20260630,1102,亞泥,0.70,144346740,股,0056
20260630,2105,正新,0.61,146525028,股,0056
20260630,2353,宏碁,0.61,132909501,股,0056
20260630,2027,大成鋼,0.58,103902639,股,0056
20260630,1513,中興電,0.56,22898234,股,0056
20260630,3023,信邦,0.50,10923757,股,0056
20260630,2385,群光,0.48,33144559,股,0056
20260630,3005,神基,0.41,28857860,股,0056
20260630,9904,寶成,0.38,106779315,股,0056
20260630,2645,長榮航太,0.34,13347689,股,0056
