日期,標的代號,標的名稱,權重(%),持有數,單位,ETF
20260615,2330,台積電,9.67,11960000,股,00981A
20260615,2383,台光電,7.68,4486000,股,00981A
20260615,2454,聯發科,7.40,4861000,股,00981A
20260615,2327,國巨*,6.77,21168000,股,00981A
20260615,2345,智邦,5.24,6334000,股,00981A
20260615,6223,旺矽,4.99,2279000,股,00981A
20260615,2308,台達電,4.94,6572000,股,00981A
20260615,3017,奇鋐,4.26,5191000,股,00981A
20260615,6669,緯穎,4.16,2492000,股,00981A
20260615,3037,欣興,4.07,12466000,股,00981A
20260615,2368,金像電,3.74,8315000,股,00981A
20260615,2303,聯電,3.73,77390000,股,00981A
20260615,3665,貿聯-KY,3.73,4833848,股,00981A
20260615,3711,日月光投控,3.61,17948000,股,00981A
20260615,8046,南電,3.17,10828000,股,00981A
20260615,3653,健策,2.96,2267000,股,00981A
20260615,5274,信驊,2.56,422000,股,00981A
20260615,6274,台燿,2.55,4763000,股,00981A
20260615,6515,穎崴,1.49,442000,股,00981A
20260615,6510,精測,1.14,930000,股,00981A
20260615,8210,勤誠,1.10,2267000,股,00981A
20260615,6805,富世達,1.07,1811000,股,00981A
20260615,3533,嘉澤,0.67,852000,股,00981A
20260615,2317,鴻海,0.67,7307000,股,00981A
20260615,2404,漢唐,0.56,1200000,股,00981A
20260615,6187,萬潤,0.51,1334000,股,00981A
20260615,6147,頎邦,0.47,5875000,股,00981A
20260615,8996,高力,0.44,1034000,股,00981A
20260615,3443,創意,0.42,258000,股,00981A
20260615,5439,高技,0.40,3528000,股,00981A
20260615,4966,譜瑞-KY,0.38,1642000,股,00981A
20260615,8150,南茂,0.38,11635000,股,00981A
20260615,2449,京元電子,0.35,3645000,股,00981A
20260615,6278,台表科,0.32,4334000,股,00981A
20260615,4958,臻鼎-KY,0.29,1428000,股,00981A
20260615,1590,亞德客-KY,0.24,530000,股,00981A
20260615,8358,金居,0.21,980000,股,00981A
20260615,6191,精成科,0.14,3988000,股,00981A
20260615,3376,新日興,0.12,1741000,股,00981A
20260615,6488,環球晶,0.11,350000,股,00981A
20260615,6271,同欣電,0.09,1066000,股,00981A
20260615,2002,中鋼,0.03,5163000,股,00981A
20260615,2313,華通,0.03,329000,股,00981A
20260615,1815,富喬,0.00,107000,股,00981A
20260615,2439,美律,0.00,18000,股,00981A
20260615,2481,強茂,0.00,5000,股,00981A
20260615,3008,大立光,0.00,1000,股,00981A
20260615,2382,廣達,0.00,1000,股,00981A
20260615,3264,欣銓,0.00,1000,股,00981A
20260615,3661,世芯-KY,0.00,1000,股,00981A
20260615,5347,世界,0.00,1000,股,00981A
20260615,C_NTD,CASH,,6149954308,元,00981A
20260615,M_NTD,MARGIN,,500128241,元,00981A
20260615,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,-4142948761,元,00981A
20260612,2330,台積電,18.16,14200000,股,00403A
20260612,2303,聯電,5.35,72400000,股,00403A
20260612,2327,國巨*,4.69,9900000,股,00403A
20260612,3037,欣興,4.47,8960000,股,00403A
20260612,3017,奇鋐,4.33,3250000,股,00403A
20260612,3711,日月光投控,3.95,12101000,股,00403A
20260612,2344,華邦電,3.62,38000000,股,00403A
20260612,2383,台光電,3.61,1350000,股,00403A
20260612,2368,金像電,3.43,4700000,股,00403A
20260612,6223,旺矽,3.23,900000,股,00403A
20260612,2308,台達電,2.98,2430000,股,00403A
20260612,2454,聯發科,2.78,1200000,股,00403A
20260612,2345,智邦,2.71,2100000,股,00403A
20260612,6669,緯穎,2.12,790000,股,00403A
20260612,4958,臻鼎-KY,1.80,5900000,股,00403A
20260612,3653,健策,1.70,830000,股,00403A
20260612,3533,嘉澤,1.54,1240000,股,00403A
20260612,3665,貿聯-KY,1.39,1090000,股,00403A
20260612,2337,旺宏,1.33,16350000,股,00403A
20260612,6274,台燿,1.20,1520000,股,00403A
20260612,7769,鴻勁,1.11,279000,股,00403A
20260612,2360,致茂,1.07,840000,股,00403A
20260612,6515,穎崴,1.06,200000,股,00403A
20260612,3443,創意,1.04,430000,股,00403A
20260612,5347,世界,0.93,9911000,股,00403A
20260612,8996,高力,0.85,1334000,股,00403A
20260612,6442,光聖,0.85,830000,股,00403A
20260612,6488,環球晶,0.72,1497000,股,00403A
20260612,6147,頎邦,0.69,5600000,股,00403A
20260612,3081,聯亞,0.69,570000,股,00403A
20260612,3529,力旺,0.67,390000,股,00403A
20260612,6805,富世達,0.58,570000,股,00403A
20260612,8210,勤誠,0.56,680000,股,00403A
20260612,8358,金居,0.54,1710000,股,00403A
20260612,8046,南電,0.49,1080000,股,00403A
20260612,3189,景碩,0.47,1380000,股,00403A
20260612,5274,信驊,0.46,45000,股,00403A
20260612,2317,鴻海,0.46,3200000,股,00403A
20260612,8299,群聯,0.45,350000,股,00403A
20260612,1303,南亞,0.41,7000000,股,00403A
20260612,3583,辛耘,0.40,900000,股,00403A
20260612,4966,譜瑞-KY,0.34,900000,股,00403A
20260612,3105,穩懋,0.27,957000,股,00403A
20260612,6196,帆宣,0.26,870000,股,00403A
20260612,4979,華星光,0.25,916000,股,00403A
20260612,1560,中砂,0.22,600000,股,00403A
20260612,2049,上銀,0.18,1010000,股,00403A
20260612,3211,順達,0.16,700000,股,00403A
20260612,2455,全新,0.09,450000,股,00403A
20260612,2481,強茂,0.00,1000,股,00403A
20260612,C_NTD,CASH,,7442604797,元,00403A
20260612,M_NTD,MARGIN,,0,元,00403A
20260612,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,-2292205803,元,00403A
20260615,2330,台積電,57.84,520388104,股,0050
20260615,2454,聯發科,6.56,31338511,股,0050
20260615,2308,台達電,4.28,41358617,股,0050
20260615,2317,鴻海,3.25,259926434,股,0050
20260615,3711,日月光投控,1.94,70135348,股,0050
20260615,2303,聯電,1.64,247795047,股,0050
20260615,2327,國巨*,1.45,33003485,股,0050
20260615,2383,台光電,1.44,6113474,股,0050
20260615,3037,欣興,1.28,28433334,股,0050
20260615,2891,中信金,1.24,377300256,股,0050
20260615,2345,智邦,1.20,10583627,股,0050
20260615,2881,富邦金,1.06,177404950,股,0050
20260615,2882,國泰金,0.97,199066450,股,0050
20260615,2382,廣達,0.97,56300716,股,0050
20260615,2360,致茂,0.83,7876043,股,0050
20260615,3017,奇鋐,0.78,6918111,股,0050
20260615,2887,台新新光金,0.72,489034474,股,0050
20260615,2885,元大金,0.71,231866450,股,0050
20260615,2344,華邦電,0.59,66340037,股,0050
20260615,1303,南亞,0.57,104756031,股,0050
20260615,2412,中華電,0.55,81133347,股,0050
20260615,2357,華碩,0.54,14518764,股,0050
20260615,2884,玉山金,0.53,326311147,股,0050
20260615,2886,兆豐金,0.52,251109412,股,0050
20260615,6669,緯穎,0.50,2198886,股,0050
20260615,3231,緯創,0.49,65037908,股,0050
20260615,2883,凱基金,0.45,335911302,股,0050
20260615,2368,金像電,0.45,7318186,股,0050
20260615,2408,南亞科,0.44,23875571,股,0050
20260615,2890,永豐金,0.44,269624617,股,0050
20260615,3008,大立光,0.42,2039380,股,0050
20260615,7769,鴻勁,0.41,1213040,股,0050
20260615,2301,光寶科,0.40,41294842,股,0050
20260615,2059,川湖,0.39,1204141,股,0050
20260615,1216,統一,0.37,104687830,股,0050
20260615,2880,華南金,0.34,197792281,股,0050
20260615,2892,第一金,0.34,230703046,股,0050
20260615,3661,世芯-KY,0.34,1686579,股,0050
20260615,3653,健策,0.32,1790847,股,0050
20260615,2449,京元電子,0.30,23123171,股,0050
20260615,5880,合庫金,0.25,222481659,股,0050
20260615,2603,長榮,0.24,23099547,股,0050
20260615,2395,研華,0.22,9760452,股,0050
20260615,2002,中鋼,0.21,237642210,股,0050
20260615,1301,台塑,0.20,89199598,股,0050
20260615,4904,遠傳,0.19,37711879,股,0050
20260615,3045,台灣大,0.17,30050093,股,0050
20260615,202607TX,臺股期貨,0.15,350,口,0050
