日期,標的代號,標的名稱,權重(%),持有數,單位,ETF
20260605,2330,台積電,10.11,11960000,股,00981A
20260605,2383,台光電,7.83,4486000,股,00981A
20260605,2454,聯發科,6.55,4263000,股,00981A
20260605,2345,智邦,5.63,6334000,股,00981A
20260605,2308,台達電,5.40,6572000,股,00981A
20260605,6669,緯穎,5.04,2492000,股,00981A
20260605,2327,國巨*,5.03,18313000,股,00981A
20260605,3017,奇鋐,4.82,5191000,股,00981A
20260605,6223,旺矽,4.47,2169000,股,00981A
20260605,3037,欣興,4.16,12466000,股,00981A
20260605,3665,貿聯-KY,3.70,4703848,股,00981A
20260605,3711,日月光投控,3.70,17948000,股,00981A
20260605,2368,金像電,3.65,7769000,股,00981A
20260605,2303,聯電,3.37,71690000,股,00981A
20260605,8046,南電,3.27,10828000,股,00981A
20260605,3653,健策,2.93,2267000,股,00981A
20260605,5274,信驊,2.64,422000,股,00981A
20260605,6274,台燿,2.53,4400000,股,00981A
20260605,6515,穎崴,1.33,442000,股,00981A
20260605,C_NTD,CASH,1.31,3670713989,元,00981A
20260605,6805,富世達,1.23,1761000,股,00981A
20260605,6510,精測,1.10,930000,股,00981A
20260605,8210,勤誠,1.06,2167000,股,00981A
20260605,2382,廣達,0.76,5441000,股,00981A
20260605,2317,鴻海,0.74,7307000,股,00981A
20260605,3533,嘉澤,0.72,852000,股,00981A
20260605,6147,頎邦,0.56,5775000,股,00981A
20260605,6187,萬潤,0.53,1334000,股,00981A
20260605,2404,漢唐,0.52,1200000,股,00981A
20260605,5439,高技,0.46,3528000,股,00981A
20260605,4966,譜瑞-KY,0.43,1642000,股,00981A
20260605,8996,高力,0.42,1034000,股,00981A
20260605,8150,南茂,0.40,11635000,股,00981A
20260605,2449,京元電子,0.40,3645000,股,00981A
20260605,6278,台表科,0.28,3734000,股,00981A
20260605,3443,創意,0.26,167000,股,00981A
20260605,1590,亞德客-KY,0.25,530000,股,00981A
20260605,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,0.23,645551015,元,00981A
20260605,8358,金居,0.21,980000,股,00981A
20260605,M_NTD,MARGIN,0.18,500128241,元,00981A
20260605,3376,新日興,0.15,1741000,股,00981A
20260605,6191,精成科,0.14,3988000,股,00981A
20260605,6271,同欣電,0.06,686000,股,00981A
20260605,2002,中鋼,0.04,5163000,股,00981A
20260605,2313,華通,0.03,329000,股,00981A
20260605,1319,東陽,0.02,511000,股,00981A
20260605,1815,富喬,0.00,107000,股,00981A
20260605,2439,美律,0.00,18000,股,00981A
20260605,5347,世界,0.00,1000,股,00981A
20260605,3661,世芯-KY,0.00,1000,股,00981A
20260605,3264,欣銓,0.00,1000,股,00981A
20260605,2481,強茂,0.00,5000,股,00981A
20260605,3008,大立光,0.00,1000,股,00981A
20260605,PFUR_NTD,PAYABLES FOR UNITS REDEEMED,-0.23,-636810320,元,00981A
20260605,2330,台積電,18.40,14200000,股,00403A
20260605,2303,聯電,4.90,68000000,股,00403A
20260605,3017,奇鋐,4.63,3250000,股,00403A
20260605,3037,欣興,4.58,8960000,股,00403A
20260605,3711,日月光投控,3.83,12101000,股,00403A
20260605,2327,國巨*,3.69,8760000,股,00403A
20260605,2383,台光電,3.61,1350000,股,00403A
20260605,2368,金像電,3.39,4700000,股,00403A
20260605,2344,華邦電,3.19,36000000,股,00403A
20260605,2308,台達電,2.83,2250000,股,00403A
20260605,2345,智邦,2.81,2060000,股,00403A
20260605,2454,聯發科,2.47,1050000,股,00403A
20260605,6223,旺矽,2.46,780000,股,00403A
20260605,6669,緯穎,2.45,790000,股,00403A
20260605,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,2.43,4429282366,元,00403A
20260605,C_NTD,CASH,2.38,4336494568,元,00403A
20260605,3653,健策,1.65,830000,股,00403A
20260605,3533,嘉澤,1.61,1240000,股,00403A
20260605,4958,臻鼎-KY,1.52,5492000,股,00403A
20260605,2337,旺宏,1.34,16350000,股,00403A
20260605,3665,貿聯-KY,1.31,1090000,股,00403A
20260605,2360,致茂,1.18,840000,股,00403A
20260605,6274,台燿,1.15,1300000,股,00403A
20260605,7769,鴻勁,1.11,279000,股,00403A
20260605,3081,聯亞,1.05,720000,股,00403A
20260605,3443,創意,1.04,430000,股,00403A
20260605,6442,光聖,0.93,830000,股,00403A
20260605,5347,世界,0.88,9911000,股,00403A
20260605,6147,頎邦,0.83,5600000,股,00403A
20260605,6515,穎崴,0.76,165000,股,00403A
20260605,3529,力旺,0.73,390000,股,00403A
20260605,8996,高力,0.72,1169000,股,00403A
20260605,6488,環球晶,0.67,1497000,股,00403A
20260605,6805,富世達,0.61,570000,股,00403A
20260605,8358,金居,0.56,1710000,股,00403A
20260605,3189,景碩,0.54,1380000,股,00403A
20260605,8210,勤誠,0.51,680000,股,00403A
20260605,8046,南電,0.50,1080000,股,00403A
20260605,2317,鴻海,0.50,3200000,股,00403A
20260605,8299,群聯,0.47,350000,股,00403A
20260605,3583,辛耘,0.43,900000,股,00403A
20260605,5274,信驊,0.43,45000,股,00403A
20260605,4979,華星光,0.39,1200000,股,00403A
20260605,4966,譜瑞-KY,0.36,900000,股,00403A
20260605,3044,健鼎,0.27,1000000,股,00403A
20260605,1303,南亞,0.25,4300000,股,00403A
20260605,3105,穩懋,0.25,957000,股,00403A
20260605,6196,帆宣,0.24,870000,股,00403A
20260605,2049,上銀,0.19,1010000,股,00403A
20260605,2455,全新,0.10,450000,股,00403A
20260605,2481,強茂,0.10,1100000,股,00403A
20260605,1560,中砂,0.03,78000,股,00403A
20260605,M_NTD,MARGIN,0.00,0,元,00403A
20260605,PFUR_NTD,PAYABLES FOR UNITS REDEEMED,-2.04,-3724348827,元,00403A
20260605,2330,台積電,58.18,499774946,股,0050
20260605,2454,聯發科,6.37,30095959,股,0050
20260605,2308,台達電,4.50,39725860,股,0050
20260605,2317,鴻海,3.50,249613004,股,0050
20260605,3711,日月光投控,1.91,67362250,股,0050
20260605,2303,聯電,1.54,237939612,股,0050
20260605,2383,台光電,1.41,5872424,股,0050
20260605,2345,智邦,1.25,10165466,股,0050
20260605,3037,欣興,1.25,27306637,股,0050
20260605,2327,國巨*,1.20,31691983,股,0050
20260605,2891,中信金,1.19,362389648,股,0050
20260605,2382,廣達,1.04,54069518,股,0050
20260605,2881,富邦金,0.99,170350151,股,0050
20260605,2360,致茂,0.96,7564285,股,0050
20260605,2882,國泰金,0.94,191148827,股,0050
20260605,3017,奇鋐,0.85,6644921,股,0050
20260605,2885,元大金,0.72,222652057,股,0050
20260605,2887,台新新光金,0.66,469590511,股,0050
20260605,2357,華碩,0.62,13941851,股,0050
20260605,6669,緯穎,0.59,2112108,股,0050
20260605,2412,中華電,0.54,77907075,股,0050
20260605,3231,緯創,0.53,62451714,股,0050
20260605,1303,南亞,0.52,100589323,股,0050
20260605,2344,華邦電,0.51,63701927,股,0050
20260605,2884,玉山金,0.51,313332288,股,0050
20260605,2886,兆豐金,0.50,241122203,股,0050
20260605,2368,金像電,0.45,7027319,股,0050
20260605,2301,光寶科,0.45,39653413,股,0050
20260605,2883,凱基金,0.44,322459648,股,0050
20260605,2890,永豐金,0.42,259073145,股,0050
20260605,7769,鴻勁,0.42,1164830,股,0050
20260605,2408,南亞科,0.41,22927100,股,0050
20260605,1216,統一,0.37,100524336,股,0050
20260605,3008,大立光,0.35,1959030,股,0050
20260605,3661,世芯-KY,0.34,1620692,股,0050
20260605,2449,京元電子,0.34,22203626,股,0050
20260605,2880,華南金,0.33,189925387,股,0050
20260605,2059,川湖,0.32,1157538,股,0050
20260605,2892,第一金,0.32,221527372,股,0050
20260605,3653,健策,0.31,1720139,股,0050
20260605,5880,合庫金,0.25,213632547,股,0050
20260605,2603,長榮,0.25,22181609,股,0050
20260605,2395,研華,0.23,9373165,股,0050
20260605,2002,中鋼,0.22,228190132,股,0050
20260605,1301,台塑,0.21,85651926,股,0050
20260605,4904,遠傳,0.18,36212207,股,0050
20260605,3045,台灣大,0.16,28855751,股,0050
20260605,2207,和泰車,0.14,5712867,股,0050
20260605,202606TX,臺股期貨,0.12,268,口,0050
20260605,202606NYF,台灣50ETF股票期貨,0.09,1738,口,0050
20260605,6919,康霈*,0.09,19689267,股,0050
20260605,6505,台塑化,0.07,24306746,股,0050
20260605,2454,聯發科,8.85,14477767,股,0056
20260605,2303,聯電,7.66,409631479,股,0056
20260605,3711,日月光投控,5.15,62816498,股,0056
20260605,2357,華碩,4.38,34216614,股,0056
20260605,2891,中信金,4.21,444953367,股,0056
20260605,2382,廣達,4.14,74557653,股,0056
20260605,2885,元大金,3.45,371878130,股,0056
20260605,2301,光寶科,3.05,93248769,股,0056
20260605,2603,長榮,2.99,90628534,股,0056
20260605,3231,緯創,2.89,118735063,股,0056
20260605,2890,永豐金,2.54,546785892,股,0056
20260605,2317,鴻海,2.54,62899243,股,0056
20260605,2880,華南金,2.52,509906999,股,0056
20260605,2449,京元電子,2.32,52840529,股,0056
20260605,2379,瑞昱,2.26,24773711,股,0056
20260605,3036,文曄,2.26,56475123,股,0056
20260605,3045,台灣大,2.26,137206138,股,0056
20260605,2886,兆豐金,2.18,365917582,股,0056
20260605,2883,凱基金,2.12,541669142,股,0056
20260605,1216,統一,2.00,190806922,股,0056
20260605,3034,聯詠,1.95,27884280,股,0056
20260605,202606TX,臺股期貨,1.93,1500,口,0056
20260605,2356,英業達,1.74,159191304,股,0056
20260605,3044,健鼎,1.72,24242301,股,0056
20260605,6239,力成,1.69,35218953,股,0056
20260605,4938,和碩,1.62,117711360,股,0056
20260605,2376,技嘉,1.62,30865326,股,0056
20260605,2884,玉山金,1.57,331757246,股,0056
20260605,2887,台新新光金,1.53,375811024,股,0056
20260605,2618,長榮航,1.32,246377859,股,0056
20260605,5876,上海商銀,1.21,209182567,股,0056
20260605,3702,大聯大,1.21,74111490,股,0056
20260605,2324,仁寶,1.17,199539853,股,0056
20260605,2347,聯強,1.00,79300410,股,0056
20260605,6285,啟碁,0.93,22396370,股,0056
20260605,2474,可成,0.84,25647549,股,0056
20260605,2377,微星,0.75,37380233,股,0056
20260605,2105,正新,0.72,149031114,股,0056
20260605,2353,宏碁,0.71,129332688,股,0056
20260605,1102,亞泥,0.70,144013117,股,0056
20260605,2385,群光,0.67,33019272,股,0056
20260605,2027,大成鋼,0.64,102464425,股,0056
20260605,3023,信邦,0.51,10981485,股,0056
20260605,3005,神基,0.44,28627011,股,0056
20260605,9904,寶成,0.40,106373398,股,0056
20260605,1319,東陽,0.36,25714027,股,0056
20260605,1477,聚陽,0.34,10604064,股,0056
20260605,2645,長榮航太,0.33,13652538,股,0056
20260605,2006,東和鋼鐵,0.30,31859929,股,0056
20260605,6176,瑞儀,0.28,19486642,股,0056
20260605,2382,廣達,10.90,168841000,股,00878
20260605,2891,中信金,9.75,885744000,股,00878
20260605,2882,國泰金,6.26,378356486,股,00878
20260605,2357,華碩,5.51,37065000,股,00878
20260605,2603,長榮,4.15,108074000,股,00878
20260605,2303,聯電,4.05,186185000,股,00878
