日期,標的代號,標的名稱,權重(%),持有數,單位,ETF
20260708,2330,台積電,10.78,11960000,股,00981A
20260708,2383,台光電,8.94,4597000,股,00981A
20260708,2327,國巨*,8.18,25098000,股,00981A
20260708,2454,聯發科,7.50,5131000,股,00981A
20260708,6223,旺矽,5.77,2443000,股,00981A
20260708,2345,智邦,5.59,6334000,股,00981A
20260708,2303,聯電,5.16,86550000,股,00981A
20260708,3037,欣興,4.80,15203000,股,00981A
20260708,6669,緯穎,4.46,2417000,股,00981A
20260708,3017,奇鋐,4.41,5191000,股,00981A
20260708,8046,南電,3.62,8949000,股,00981A
20260708,2368,金像電,3.50,8315000,股,00981A
20260708,2308,台達電,3.48,5052000,股,00981A
20260708,3665,貿聯-KY,3.36,4833848,股,00981A
20260708,6274,台燿,3.10,5160000,股,00981A
20260708,3711,日月光投控,2.91,12742000,股,00981A
20260708,3653,健策,2.65,2267000,股,00981A
20260708,5274,信驊,2.13,416900,股,00981A
20260708,8210,勤誠,0.99,2267000,股,00981A
20260708,6805,富世達,0.92,1811000,股,00981A
20260708,6515,穎崴,0.57,204000,股,00981A
20260708,6187,萬潤,0.47,1334000,股,00981A
20260708,6147,頎邦,0.46,6275000,股,00981A
20260708,5439,高技,0.44,3528000,股,00981A
20260708,6510,精測,0.43,411000,股,00981A
20260708,6278,台表科,0.32,4334000,股,00981A
20260708,6271,同欣電,0.28,2966000,股,00981A
20260708,1590,亞德客-KY,0.26,528000,股,00981A
20260708,2449,京元電子,0.21,1886000,股,00981A
20260708,6191,精成科,0.15,3988000,股,00981A
20260708,3264,欣銓,0.13,1508000,股,00981A
20260708,3376,新日興,0.13,1741000,股,00981A
20260708,2002,中鋼,0.04,5163000,股,00981A
20260708,4966,譜瑞-KY,0.03,140000,股,00981A
20260708,6488,環球晶,0.02,50000,股,00981A
20260708,8150,南茂,0.00,1000,股,00981A
20260708,8358,金居,0.00,1000,股,00981A
20260708,8996,高力,0.00,1000,股,00981A
20260708,5347,世界,0.00,1000,股,00981A
20260708,4958,臻鼎-KY,0.00,1000,股,00981A
20260708,3443,創意,0.00,1000,股,00981A
20260708,3533,嘉澤,0.00,1000,股,00981A
20260708,3661,世芯-KY,0.00,1000,股,00981A
20260708,1815,富喬,0.00,107000,股,00981A
20260708,2313,華通,0.00,1000,股,00981A
20260708,2317,鴻海,0.00,1000,股,00981A
20260708,2382,廣達,0.00,1000,股,00981A
20260708,2481,強茂,0.00,5000,股,00981A
20260708,3008,大立光,0.00,1000,股,00981A
20260708,2439,美律,0.00,1000,股,00981A
20260708,C_NTD,CASH,,4369542800,元,00981A
20260708,M_NTD,MARGIN,,500781127,元,00981A
20260708,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,-692265646,元,00981A
20260709,2330,台積電,19.01,12800000,股,00403A
20260709,2303,聯電,7.19,75000000,股,00403A
20260709,3017,奇鋐,4.99,3450000,股,00403A
20260709,2327,國巨*,4.98,9000000,股,00403A
20260709,6223,旺矽,4.35,1000000,股,00403A
20260709,2344,華邦電,4.30,39600000,股,00403A
20260709,2454,聯發科,3.86,1600000,股,00403A
20260709,3037,欣興,3.80,7064000,股,00403A
20260709,2383,台光電,3.71,1140000,股,00403A
20260709,2345,智邦,3.19,2100000,股,00403A
20260709,2308,台達電,2.81,2430000,股,00403A
20260709,3711,日月光投控,2.46,5900000,股,00403A
20260709,6669,緯穎,2.45,790000,股,00403A
20260709,4958,臻鼎-KY,2.33,6440000,股,00403A
20260709,2368,金像電,1.82,2750000,股,00403A
20260709,6488,環球晶,1.79,2152000,股,00403A
20260709,6274,台燿,1.64,1700000,股,00403A
20260709,3189,景碩,1.57,3217000,股,00403A
20260709,3653,健策,1.54,780000,股,00403A
20260709,3533,嘉澤,1.49,1240000,股,00403A
20260709,3443,創意,1.28,480000,股,00403A
20260709,8996,高力,1.21,1600000,股,00403A
20260709,7769,鴻勁,1.14,279000,股,00403A
20260709,6515,穎崴,0.95,200000,股,00403A
20260709,1303,南亞,0.95,8500000,股,00403A
20260709,8046,南電,0.92,1226000,股,00403A
20260709,2337,旺宏,0.88,10000000,股,00403A
