日期,標的代號,標的名稱,權重(%),持有數,單位,ETF
20260622,2330,台積電,10.00,11960000,股,00981A
20260622,2383,台光電,8.71,4486000,股,00981A
20260622,2327,國巨*,8.48,23892000,股,00981A
20260622,2454,聯發科,7.23,4861000,股,00981A
20260622,2345,智邦,5.48,6334000,股,00981A
20260622,6223,旺矽,4.88,2279000,股,00981A
20260622,2308,台達電,4.46,6222000,股,00981A
20260622,3037,欣興,4.46,13307000,股,00981A
20260622,3017,奇鋐,4.18,5191000,股,00981A
20260622,2303,聯電,4.12,77390000,股,00981A
20260622,3711,日月光投控,4.03,17948000,股,00981A
20260622,6669,緯穎,4.03,2492000,股,00981A
20260622,2368,金像電,3.86,8315000,股,00981A
20260622,3665,貿聯-KY,3.20,4833848,股,00981A
20260622,6274,台燿,3.20,5058000,股,00981A
20260622,3653,健策,2.90,2267000,股,00981A
20260622,5274,信驊,2.71,422000,股,00981A
20260622,8046,南電,2.57,8917000,股,00981A
20260622,6805,富世達,1.10,1811000,股,00981A
20260622,6515,穎崴,1.10,348000,股,00981A
20260622,6510,精測,1.09,930000,股,00981A
20260622,8210,勤誠,1.03,2267000,股,00981A
20260622,2449,京元電子,0.73,6484000,股,00981A
20260622,3533,嘉澤,0.66,852000,股,00981A
20260622,2317,鴻海,0.65,7307000,股,00981A
20260622,6147,頎邦,0.58,6275000,股,00981A
20260622,6187,萬潤,0.56,1334000,股,00981A
20260622,8150,南茂,0.44,11635000,股,00981A
20260622,5439,高技,0.39,3528000,股,00981A
20260622,4966,譜瑞-KY,0.38,1642000,股,00981A
20260622,6278,台表科,0.30,4334000,股,00981A
20260622,6271,同欣電,0.26,2966000,股,00981A
20260622,1590,亞德客-KY,0.25,530000,股,00981A
20260622,8358,金居,0.23,980000,股,00981A
20260622,8996,高力,0.18,354000,股,00981A
20260622,6191,精成科,0.14,3988000,股,00981A
20260622,6488,環球晶,0.13,350000,股,00981A
20260622,3264,欣銓,0.12,1508000,股,00981A
20260622,3376,新日興,0.12,1741000,股,00981A
20260622,2002,中鋼,0.03,5163000,股,00981A
20260622,1815,富喬,0.00,107000,股,00981A
20260622,2313,華通,0.00,1000,股,00981A
20260622,2382,廣達,0.00,1000,股,00981A
20260622,2481,強茂,0.00,5000,股,00981A
20260622,3008,大立光,0.00,1000,股,00981A
20260622,2439,美律,0.00,18000,股,00981A
20260622,3443,創意,0.00,1000,股,00981A
20260622,3661,世芯-KY,0.00,1000,股,00981A
20260622,5347,世界,0.00,1000,股,00981A
20260622,4958,臻鼎-KY,0.00,1000,股,00981A
20260622,C_NTD,CASH,,4661064427,元,00981A
20260622,M_NTD,MARGIN,,500781127,元,00981A
20260622,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,3114260153,元,00981A
20260618,2330,台積電,18.29,13300000,股,00403A
20260618,2327,國巨*,6.19,10050000,股,00403A
20260618,2303,聯電,6.01,72400000,股,00403A
20260618,3037,欣興,4.95,8960000,股,00403A
20260618,2344,華邦電,4.84,38800000,股,00403A
20260618,3017,奇鋐,4.45,3250000,股,00403A
20260618,2383,台光電,4.31,1350000,股,00403A
20260618,2368,金像電,3.63,4700000,股,00403A
20260618,6223,旺矽,3.29,900000,股,00403A
20260618,2454,聯發科,3.21,1280000,股,00403A
20260618,2308,台達電,2.98,2430000,股,00403A
20260618,2345,智邦,2.92,2100000,股,00403A
20260618,4958,臻鼎-KY,2.36,6440000,股,00403A
20260618,6669,緯穎,2.31,790000,股,00403A
20260618,3653,健策,1.88,830000,股,00403A
20260618,6274,台燿,1.78,1700000,股,00403A
20260618,3533,嘉澤,1.62,1240000,股,00403A
20260618,2337,旺宏,1.58,16350000,股,00403A
20260618,3711,日月光投控,1.57,4500000,股,00403A
20260618,8996,高力,1.36,1502000,股,00403A
20260618,6488,環球晶,1.27,2000000,股,00403A
20260618,3443,創意,1.19,430000,股,00403A
20260618,7769,鴻勁,1.11,279000,股,00403A
20260618,6515,穎崴,1.08,200000,股,00403A
20260618,5347,世界,0.99,9911000,股,00403A
20260618,3665,貿聯-KY,0.98,820000,股,00403A
20260618,6442,光聖,0.89,801000,股,00403A
20260618,6147,頎邦,0.81,5600000,股,00403A
20260618,2360,致茂,0.80,610000,股,00403A
20260618,3529,力旺,0.73,390000,股,00403A
20260618,8358,金居,0.68,1710000,股,00403A
20260618,3081,聯亞,0.63,450000,股,00403A
20260618,1303,南亞,0.60,7550000,股,00403A
20260618,3189,景碩,0.57,1380000,股,00403A
20260618,6805,富世達,0.57,570000,股,00403A
20260618,8046,南電,0.54,1080000,股,00403A
20260618,2317,鴻海,0.49,3200000,股,00403A
20260618,5274,信驊,0.49,45000,股,00403A
20260618,3583,辛耘,0.46,900000,股,00403A
20260618,3211,順達,0.39,1560000,股,00403A
20260618,4966,譜瑞-KY,0.36,900000,股,00403A
20260618,6196,帆宣,0.32,1000000,股,00403A
20260618,1560,中砂,0.32,800000,股,00403A
20260618,3105,穩懋,0.29,957000,股,00403A
20260618,6415,矽力*-KY,0.27,750000,股,00403A
20260618,8210,勤誠,0.22,280000,股,00403A
20260618,4979,華星光,0.19,600000,股,00403A
20260618,2049,上銀,0.19,1010000,股,00403A
20260618,2455,全新,0.11,450000,股,00403A
20260618,8299,群聯,0.00,1000,股,00403A
20260618,C_NTD,CASH,,11350146648,元,00403A
20260618,M_NTD,MARGIN,,0,元,00403A
20260618,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,3025898691,元,00403A
20260622,2330,台積電,57.57,519263692,股,0050
20260622,2454,聯發科,6.20,31412169,股,0050
20260622,2308,台達電,3.92,41267204,股,0050
20260622,2317,鴻海,3.07,259187320,股,0050
20260622,3711,日月光投控,2.10,70584772,股,0050
20260622,2303,聯電,1.76,248405838,股,0050
20260622,2383,台光電,1.59,6190524,股,0050
20260622,2327,國巨*,1.58,33525891,股,0050
20260622,3037,欣興,1.24,28003840,股,0050
20260622,2345,智邦,1.21,10588314,股,0050
20260622,2891,中信金,1.18,377532008,股,0050
20260622,2881,富邦金,1.08,177036997,股,0050
20260622,2882,國泰金,1.01,202435657,股,0050
20260622,2382,廣達,0.94,56107894,股,0050
20260622,2360,致茂,0.80,7824841,股,0050
20260622,3017,奇鋐,0.73,6793501,股,0050
20260622,2885,元大金,0.71,234346441,股,0050
20260622,2887,台新新光金,0.70,492525419,股,0050
20260622,1303,南亞,0.70,104581211,股,0050
20260622,2344,華邦電,0.64,65666985,股,0050
20260622,2408,南亞科,0.54,24214416,股,0050
20260622,2412,中華電,0.52,80988065,股,0050
20260622,2884,玉山金,0.51,322690568,股,0050
20260622,2886,兆豐金,0.50,250907097,股,0050
20260622,2357,華碩,0.50,14326665,股,0050
20260622,2890,永豐金,0.48,272688491,股,0050
20260622,6669,緯穎,0.47,2206304,股,0050
20260622,3008,大立光,0.46,1992730,股,0050
20260622,3231,緯創,0.46,64097117,股,0050
20260622,2883,凱基金,0.45,334291396,股,0050
20260622,2368,金像電,0.45,7296513,股,0050
20260622,4958,臻鼎-KY,0.44,16186000,股,0050
20260622,2301,光寶科,0.42,41516983,股,0050
20260622,2059,川湖,0.39,1170884,股,0050
20260622,7769,鴻勁,0.37,1211050,股,0050
20260622,3443,創意,0.36,1705000,股,0050
20260622,2449,京元電子,0.35,23081162,股,0050
20260622,2892,第一金,0.34,237744653,股,0050
20260622,1216,統一,0.34,104888476,股,0050
20260622,202607TX,臺股期貨,0.33,778,口,0050
20260622,3665,貿聯-KY,0.33,3795000,股,0050
20260622,3661,世芯-KY,0.32,1674526,股,0050
20260622,2880,華南金,0.32,195139211,股,0050
20260622,3653,健策,0.31,1849595,股,0050
20260622,5880,合庫金,0.24,222210993,股,0050
20260622,2395,研華,0.22,9786847,股,0050
20260622,2603,長榮,0.20,23060271,股,0050
20260622,4904,遠傳,0.18,37657305,股,0050
20260622,8046,南電,0.17,4547000,股,0050
20260622,3045,台灣大,0.16,29997789,股,0050
20260622,202607NYF,台灣50ETF股票期貨,0.09,1738,口,0050
20260622,6505,台塑化,0.06,24355478,股,0050
20260622,2303,聯電,7.80,357259095,股,0056
20260622,2454,聯發科,6.25,10256719,股,0056
20260622,3711,日月光投控,4.44,48290388,股,0056
20260622,2891,中信金,4.24,440336330,股,0056
20260622,2382,廣達,4.01,77309077,股,0056
20260622,2357,華碩,3.62,33679827,股,0056
20260622,202607TX,臺股期貨,3.31,2500,口,0056
20260622,2890,永豐金,3.25,598891674,股,0056
20260622,2885,元大金,3.22,342418194,股,0056
20260622,2379,瑞昱,3.03,24653605,股,0056
20260622,3231,緯創,2.92,131476005,股,0056
20260622,2880,華南金,2.90,565124945,股,0056
20260622,2301,光寶科,2.71,85762690,股,0056
20260622,2886,兆豐金,2.60,425362922,股,0056
20260622,2603,長榮,2.39,90701575,股,0056
20260622,2317,鴻海,2.32,63362269,股,0056
20260622,2883,凱基金,2.27,548884937,股,0056
20260622,3045,台灣大,2.21,136788545,股,0056
20260622,3034,聯詠,2.14,27699685,股,0056
20260622,1216,統一,2.12,209288933,股,0056
20260622,2449,京元電子,2.07,44801317,股,0056
20260622,2887,台新新光金,1.88,429022593,股,0056
20260622,3044,健鼎,1.87,24242667,股,0056
20260622,3036,文曄,1.77,57771454,股,0056
20260622,6239,力成,1.74,34782298,股,0056
20260622,2884,玉山金,1.74,356151305,股,0056
20260622,2356,英業達,1.47,159323444,股,0056
20260622,2376,技嘉,1.42,30600310,股,0056
20260622,2618,長榮航,1.38,243349081,股,0056
20260622,4938,和碩,1.31,116590391,股,0056
20260622,2344,華邦電,1.29,42433000,股,0056
20260622,5876,上海商銀,1.18,209357473,股,0056
20260622,3702,大聯大,1.14,74173325,股,0056
20260622,2347,聯強,1.01,79365073,股,0056
20260622,2324,仁寶,1.00,194699400,股,0056
20260622,2408,南亞科,0.97,14064000,股,0056
20260622,4904,遠傳,0.87,58924000,股,0056
20260622,6285,啟碁,0.81,22258142,股,0056
20260622,2474,可成,0.72,25667355,股,0056
20260622,1102,亞泥,0.71,142577272,股,0056
20260622,2377,微星,0.70,37607991,股,0056
20260622,2353,宏碁,0.60,129023444,股,0056
20260622,2105,正新,0.60,147013819,股,0056
20260622,2027,大成鋼,0.56,100008819,股,0056
20260622,2385,群光,0.51,33047488,股,0056
20260622,3023,信邦,0.50,10915772,股,0056
20260622,3005,神基,0.39,28400978,股,0056
20260622,9904,寶成,0.38,106464806,股,0056
20260622,2645,長榮航太,0.32,13417365,股,0056
20260622,1477,聚陽,0.20,6755618,股,0056
20260622,1513,中興電,0.20,8071000,股,0056
20260622,2006,東和鋼鐵,0.19,20293230,股,0056
20260622,1319,東陽,0.19,16379960,股,0056
20260622,6176,瑞儀,0.15,12412588,股,0056
20260622,1303,南亞,0.13,6065000,股,0056
20260618,2891,中信金,10.27,885744000,股,00878
20260618,2382,廣達,10.24,168841000,股,00878
20260618,2882,國泰金,6.98,374689486,股,00878
20260618,2357,華碩,4.72,37065000,股,00878
20260618,2303,聯電,4.33,184380000,股,00878
20260618,2454,聯發科,3.53,4979000,股,00878
20260618,2603,長榮,3.50,112424000,股,00878
20260618,2379,瑞昱,3.40,25748000,股,00878
20260618,2881,富邦金,2.98,133920945,股,00878
20260618,2887,台新新光金,2.98,569427000,股,00878
20260618,202607TX,台股期貨,2.96,1966,口,00878
20260618,4958,臻鼎-KY,2.94,28430000,股,00878
20260618,5347,世界先進,2.62,93188442,股,00878
20260618,3711,日月光投控,2.55,25824000,股,00878
20260618,3034,聯詠,2.53,30366000,股,00878
20260618,2886,兆豐金,2.52,343589964,股,00878
20260618,4904,遠傳,2.52,144292000,股,00878
20260618,3045,台灣大,2.49,129747000,股,00878
20260618,2885,元大金,2.48,226166516,股,00878
20260618,1216,統一,2.30,191517000,股,00878
20260618,2412,中華電,2.27,97767000,股,00878
20260618,2880,華南金,2.16,348675000,股,00878
20260618,2301,光寶科,2.11,62290000,股,00878
20260618,3231,緯創,2.07,79488000,股,00878
20260618,2356,英業達,1.95,178956000,股,00878
20260618,2376,技嘉,1.86,33450000,股,00878
20260618,2618,長榮航,1.85,269366000,股,00878
20260618,2912,統一超,1.83,50817000,股,00878
20260618,3293,鈊  象,1.82,14243000,股,00878
20260618,5876,上海商銀,1.66,242825590,股,00878
20260618,5871,中租-KY,1.57,85399080,股,00878
20260618,C_NTD,CASH,,9978949617,元,00878
20260618,M_NTD,MARGIN,,11014827791,元,00878
20260618,PFUR_NTD,PAYABLES FOR UNITS REDEEMED,,-2697646041,元,00878
20260622,3045,台灣大,9.35,84387000,股,00713
20260622,4904,遠傳,8.43,83480000,股,00713
20260622,1216,統一,8.18,117786000,股,00713
20260622,2912,統一超,5.89,28499000,股,00713
20260622,2880,華南金,5.60,159365000,股,00713
20260622,2884,玉山金,3.83,114431567,股,00713
20260622,202607TX,臺股期貨,3.02,334,口,00713
20260622,2303,聯電,2.87,19205000,股,00713
20260622,2379,瑞昱,2.36,2802000,股,00713
20260622,2347,聯強,2.04,23314000,股,00713
20260622,2892,第一金,2.02,66997000,股,00713
20260622,2891,中信金,1.78,26935000,股,00713
20260622,2458,義隆,1.73,10376000,股,00713
20260622,5434,崇越,1.60,3388678,股,00713
20260622,3034,聯詠,1.57,2971000,股,00713
20260622,2890,永豐金,1.47,39577824,股,00713
20260622,2887,台新新光金,1.44,47961000,股,00713
20260622,1215,卜蜂,1.41,13112000,股,00713
20260622,2885,元大金,1.32,20518648,股,00713
20260622,1102,亞泥,1.27,37479000,股,00713
20260622,4766,南寶,1.27,3666000,股,00713
20260622,3036,文曄,1.26,5977000,股,00713
20260622,2357,華碩,1.22,1661000,股,00713
20260622,2441,超豐,1.15,8755000,股,00713
20260622,2610,華航,1.11,54670000,股,00713
20260622,2618,長榮航,1.11,28448000,股,00713
20260622,4915,致伸,1.11,15575000,股,00713
20260622,1402,遠東新,1.08,40175000,股,00713
20260622,9917,中保科,1.03,9482000,股,00713
20260622,2382,廣達,0.98,2746000,股,00713
20260622,2606,裕民,0.98,16986000,股,00713
20260622,9939,宏全,0.97,7878597,股,00713
20260622,6005,群益證,0.95,25457000,股,00713
20260622,2206,三陽工業,0.94,16584000,股,00713
20260622,2207,和泰車,0.94,2092000,股,00713
20260622,2006,東和鋼鐵,0.93,14234000,股,00713
20260622,5876,上海商銀,0.90,23116000,股,00713
20260622,1210,大成,0.89,17380000,股,00713
20260622,6278,台表科,0.88,4556000,股,00713
20260622,2882,國泰金,0.83,7825000,股,00713
20260622,2850,新產,0.80,5978000,股,00713
20260622,2385,群光,0.78,7350000,股,00713
20260622,6414,樺漢,0.75,2106000,股,00713
20260622,3406,玉晶光,0.73,1004000,股,00713
20260622,2633,台灣高鐵,0.72,29786000,股,00713
20260622,9904,寶成,0.61,24804000,股,00713
20260622,2883,凱基金,0.57,20002200,股,00713
20260622,4938,和碩,0.52,6774000,股,00713
20260622,3010,華立,0.52,4242000,股,00713
20260622,2015,豐興,0.51,9024000,股,00713
20260622,2474,可成,0.50,2612000,股,00713
20260622,2903,遠百,0.50,22827000,股,00713
20260622,2881,富邦金,0.49,3801675,股,00713
20260622,2845,遠東銀,0.40,32919000,股,00713
20260622,2377,微星,0.39,3047000,股,00713
20260622,2376,技嘉,0.37,1171000,股,00713
20260622,1476,儒鴻,0.36,1210000,股,00713
20260622,8464,億豐,0.34,1044000,股,00713
20260622,1477,聚陽,0.31,1564000,股,00713
20260622,6670,復盛應用,0.29,1084000,股,00713
