出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150514","11504","6973","永立榮","生技醫療業","10617","10556","3366","0.5778704054566124","215.41889483065953","37315","23374","59.643193291691624","因客戶需求增加，致本月及本年累計營收均較去年同期增加"
"1150514","11504","6976","育世博-KY","生技醫療業","0","0","0","","","0","0","","本月與去年同期無收入"
"1150514","11504","6977","聯純","綠能環保","136192","147240","280859","-7.503395816354251","-51.50876418416358","485503","757612","-35.916669746519325","本月專案工程進度較去年同期減少"
"1150514","11504","6979","勝釩","光電業","37938","59256","54632","-35.97610368570271","-30.557182603602286","193572","224953","-13.950025116357638","-"
"1150514","11504","6980","鐳洋科技","通信網路業","51627","41466","23834","24.504413254232382","116.61072417554753","174781","108926","60.45847639681986","主係智動化產品線於新能源領域滲透率提升，客戶拉貨力道強勁；同時，射頻測試產品專案如期達成交付所致"
"1150514","11504","6983","華洋精機","其他電子業","13036","20945","19097","-37.76080210074004","-31.737969314552025","62303","73057","-14.7200131404246","-"
"1150514","11504","6984","ACpay","數位雲端","13577","14202","12979","-4.400788621320941","4.607442792202789","58919","63267","-6.8724611566851594","-"
"1150514","11504","6986","和迅","生技醫療業","16706","38091","31382","-56.141870783124624","-46.76566184436938","89236","82134","8.646845398982151","-"
"1150514","11504","6987","寶晶能源*","綠能環保","119890","122187","87809","-1.8799053909172008","36.534979330137","443005","322476","37.3761148116449","-"
"1150514","11504","6990","華鉬","綠能環保","210649","160306","82404","31.40431424899879","155.62958108829667","592253","392907","50.73617929942709","本月及本年累計營收較去年同期增加，係因客戶訂單出貨增加及市場價格上揚所致。"
"1150514","11504","6995","野獸國","其他","102382","110896","92814","-7.677463569470495","10.308789622255263","432673","432577","0.022192580742850406","-"
"1150514","11504","6999","瀚醫生技","生技醫療業","12193","10300","11823","18.37864077669903","3.1294933603992217","41104","40550","1.3662145499383478","-"
"1150514","11504","7419","達勝","電子零組件業","18731","7590","7956","146.78524374176547","135.43237807943692","40395","20703","95.11664976090422","本期客戶需求增加。"
"1150514","11504","7427","華上生醫","生技醫療業","1011","720","71","40.416666666666664","1323.943661971831","2638","561","370.2317290552585","114/12/1國產新成分新藥剋必達(Kepida/tucidinostat)健保給付生效，銷售收入所致。"
"1150514","11504","7443","凡事康","其他","32870","38126","47160","-13.785867911661333","-30.301102629346904","146089","186822","-21.803106700495658","-"
"1150514","11504","7455","樺緯物聯","電腦及週邊設備業","44099","55981","79921","-21.225058501991747","-44.82176148947085","193422","276919","-30.15213835092572","-"
"1150514","11504","7507","環拓科技","綠能環保","33689","46446","47349","-27.466304956293328","-28.849606116285454","123170","127257","-3.2116111490919947","-"
"1150514","11504","7516","清淨海","其他","37663","36651","28079","2.7611797768137296","34.13226966772321","128992","101465","27.129552062287488","-"
"1150514","11504","7530","鋒魁科技","半導體業","20581","20772","16874","-0.9195070286924706","21.96870925684485","87941","55601","58.16442150321038","由於半導體產業在過年前提升產能，進而產生連鎖效應，使得設備使用頻率提高，幫浦維修需求隨之上升，因此維修業務明顯成長。"
"1150514","11504","7551","知識科技","數位雲端","21009","22128","14220","-5.056941431670282","47.742616033755276","86760","57505","50.87383705764716","主要係因廣告收入業績回流所致。"
